,text,label,relations,len
28,Sunak's rise to PM a 'ground-breaking milestone' - Biden.,<triplet> Biden <subj> Sunak's <obj> Make Public Statement,['Make Public Statement'],1
29,"US President Joe Biden says it ""matters"" that the UK will have the UK's first British Asian prime minister.",<triplet> US President Joe Biden <subj> UK <obj> Make Public Statement,['Make Public Statement'],1
30,China congress: What do people say about China's new leadership team?.,<triplet> people <subj> China's new leadership team <obj> Make Public Statement,['Make Public Statement'],1
31,China's leader Xi Jinping introduces China's leader Xi Jinping's new top team.,<triplet> China's leader Xi Jinping <subj> China's leader Xi Jinping's new top team <obj> Make Public Statement,['Make Public Statement'],1
33,"But since Hamburg Mosque is also reportedly used to spread the Mullahs's propaganda across Europe, calls are growing for Hamburg Mosque's work to be restricted.",<triplet> calls <subj> Hamburg Mosque's <obj> Disapprove <triplet> Hamburg Mosque <subj> Mullahs's propaganda <obj> Make Public Statement,"['Disapprove', 'Make Public Statement']",2
34,"For over a month, people in Iran have been protesting against The Regime’s.",<triplet> people in Iran <subj> The Regime’s <obj> Protest,['Protest'],1
35,Data shows how protests have sprung up around Iran and where The Regime’s has unleashed the most brutality against people in Iran.,<triplet> The Regime’s <subj> people in Iran <obj> Assault,['Assault'],1
36,The death of university student Jina Mahsa Amini has triggered a wave of protests across Iran.,<triplet> Iran <subj> university student Jina Mahsa Amini <obj> Assault,['Assault'],1
37,"For the last five weeks, the women of Iran have been leading the way, but people from all walks of life have joined The Women of Iran.",<triplet> people from all walks of life <subj> The Women of Iran <obj> Engage In Diplomatic Cooperation,['Engage In Diplomatic Cooperation'],1
38,"China's Xi Jinping: ""Chairman of Everything"" has transformed China's Xi Jinping: ""Chairman of Everything""'s country into a surveillance state, isolated China's from the rest of the world during the pandemic and expanded China's Xi Jinping: ""Chairman of Everything""'s foreign policy.",<triplet> China's <subj> the rest of the world <obj> Reduce Relations,['Reduce Relations'],1
39,"Why is China's Xi Jinping: ""Chairman of Everything"" so beloved by China's Xi Jinping: ""Chairman of Everything""'s people?","<triplet> China's Xi Jinping: ""Chairman of Everything""'s people <subj> China's Xi Jinping: ""Chairman of Everything"" <obj> Engage In Diplomatic Cooperation",['Engage In Diplomatic Cooperation'],1
40,"Giuseppe Conte: ""If Meloni Pursues Reactionary Positions, the Five Star Movement Will Have to Mobilize All the Five Star Movement's Powers"".",<triplet> the Five Star Movement <subj> Meloni <obj> Disapprove <triplet> Giuseppe Conte <subj> Meloni <obj> Make Public Statement <triplet> Giuseppe Conte <subj> the Five Star Movement <obj> Make Public Statement,"['Disapprove', 'Make Public Statement', 'Make Public Statement']",3
41,"After the election victory of Meloni in Italy, the head of the Five Star Movement, Giuseppe Conte, is concerned that Meloni will lead Italy to the right-wing fringe.",<triplet> Giuseppe Conte <subj> Meloni <obj> Make Public Statement,['Make Public Statement'],1
42,"In an interview, Giuseppe Conte talks about what lies ahead for Giuseppe Conte's country.",<triplet> Giuseppe Conte <subj> Giuseppe Conte's country <obj> Make Public Statement,['Make Public Statement'],1
43,"With each victim in Iran, the question as to how the West should react becomes more pressing.",<triplet> Iran <subj> each victim <obj> Assault,['Assault'],1
44,Experts are skeptical that the end is nigh for the regime in Tehran – and the regime in Tehran's nuclear ambitions remain a concern.,<triplet> Experts <subj> the regime in Tehran <obj> Make Public Statement,['Make Public Statement'],1
45,"The EU border agency Frontex has sought to cover up human rights violations for several years, but an investigation by the European anti-fraud office OLAF has exposed the treatment of refugees at Europe's frontiers.",<triplet> European anti-fraud office OLAF <subj> The EU border agency Frontex <obj> Investigate <triplet> Europe's frontiers <subj> refugees <obj> Coerce,"['Investigate', 'Coerce']",2
46,Money for Rebels: Tracking Down Blood Gold in the Democratic Republic of Congo.,<triplet> Blood Gold <subj> Rebels <obj> Provide Aid,['Provide Aid'],1
47,A group of rebels controls the mines in the east of the Democratic Republic of Congo and uses Blood Gold in the Democratic Republic of Congo to finance killings.,<triplet> group of rebels <subj> the mines in the east of the Democratic Republic of Congo <obj> Fight,['Fight'],1
48,DER SPIEGEL is one of the first media outlets to document what is happening on site in the Democratic Republic of Congo.,<triplet> DER SPIEGEL <subj> the Democratic Republic of Congo <obj> Make Public Statement,['Make Public Statement'],1
49,"For six months, The Divided Village, was occupied by Russian troops.",<triplet> Russian troops <subj> The Divided Village <obj> Fight,['Fight'],1
50,Germany and US Play Out Scenarios of a Nuclear Strike By Russia.,<triplet> Germany <subj> US <obj> Consult <triplet> Russia <subj> Scenarios of a Nuclear Strike <obj> Exhibit Military Posture,"['Consult', 'Exhibit Military Posture']",2
51,"The bleaker things look on the battlefield in Ukraine, the more often Russia talks about nuclear bombs.",<triplet> Russia <subj> Ukraine <obj> Threaten,['Threaten'],1
52,"Garry Kasparov on the War in Ukraine: ""Everyone Who Is Still in Russia Is Part of the War in Ukraine"".",<triplet> Garry Kasparov <subj> Ukraine <obj> Make Public Statement <triplet> Russia <subj> Ukraine <obj> Fight,"['Make Public Statement', 'Fight']",2
53,Garry Kasparov believes that the regime of Russian President Vladimir Putin will collapse in spring.,<triplet> Garry Kasparov <subj> the regime of Russian President Vladimir Putin <obj> Make Public Statement,['Make Public Statement'],1
54,Pavel Filatyev: A Russian Soldier Speaks Out about the War in Ukraine.,<triplet> Pavel Filatyev: A Russian Soldier <subj> Ukraine <obj> Make Public Statement,['Make Public Statement'],1
55,the War in Ukraine shocked Pavel Filatyev: A Russian Soldier so badly that Pavel Filatyev: A Russian Soldier risked imprisonment to write an exposé about the moral problems Pavel Filatyev: A Russian Soldier sees in Russia's military action.,<triplet> Pavel Filatyev: A Russian Soldier <subj> Russia <obj> Disapprove,['Disapprove'],1
56,The recapture of Lyman was preceded by a Ukrainian offensive in Kharkiv.,<triplet> Ukrainian offensive <subj> Kharkiv <obj> Fight,['Fight'],1
57,"Apparently fearing a robust advance by the Ukrainians, the Russians abandoned well-constructed defensive strongholds.",<triplet> Ukrainians <subj> Russians <obj> Fight,['Fight'],1
58,"Interview with Former Italian PM Romano Prodi: “It Would Be Suicide for Meloni to Start a Fight with Brussels"".",<triplet> Former Italian PM Romano Prodi <subj> Meloni <obj> Make Public Statement <triplet> Former Italian PM Romano Prodi <subj> Brussels <obj> Make Public Statement,"['Make Public Statement', 'Make Public Statement']",2
59,Former Italian PM Romano Prodi is worried about the future of Italy and the EU after the election victory of Meloni.,<triplet> Former Italian PM Romano Prodi <subj> Italy <obj> Make Public Statement <triplet> Former Italian PM Romano Prodi <subj> EU <obj> Make Public Statement,"['Make Public Statement', 'Make Public Statement']",2
60,Russia's Nuclear Threat: Is Russia's Bluffing the West or the other Way Around? - Editorial.,<triplet> Russia <subj> the West <obj> Threaten,['Threaten'],1
61,the West never wanted to become a party to Russia's's war against Ukraine.,<triplet> Russia <subj> Ukraine <obj> Fight,['Fight'],1
62,"French President Macron vowed Wednesday to implement a pension reform that would eventually push up retirement age by three years to 65, making younger generations work longer.",<triplet> French President Macron <subj> pension reform <obj> Make Public Statement,['Make Public Statement'],1
63,Live: UN 'optimistic' about Ukraine grain deal extension amid Russian reservations.,<triplet> UN <subj> Ukraine <obj> Make Public Statement,['Make Public Statement'],1
64,"The drop in Russian fossil fuel exports after its Ukraine invasion this year will transform the global energy landscape for decades and can help to hasten a green energy transition, the International Energy Agency (IEA) said on Thursday.",<triplet> Russian <subj> Ukraine <obj> Fight <triplet> International Energy Agency (IEA) <subj> Ukraine <obj> Make Public Statement <triplet> International Energy Agency (IEA) <subj> Russian <obj> Make Public Statement,"['Fight', 'Make Public Statement', 'Make Public Statement']",3
65,IEA expects global emissions to peak in 2025.,<triplet> IEA <subj> global emissions <obj> Make Public Statement,['Make Public Statement'],1
66,IEA said Wednesday IEA believes global emissions will peak in 2025 as surging energy prices due to the Russian invasion of Ukraine propel investment in renewables.,<triplet> Russian <subj> Ukraine <obj> Fight <triplet> IEA <subj> global emissions <obj> Make Public Statement,"['Fight', 'Make Public Statement']",2
67,US special envoy for Iran: 'We're announcing a slew of new sanctions'.,<triplet> US special envoy <subj> We <obj> Make Public Statement <triplet> We <subj> Iran <obj> Reduce Relations,"['Make Public Statement', 'Reduce Relations']",2
68,"In an interview with FRANCE 24, the US special envoy for Iran announced a slew of new sanctions.",<triplet> the US special envoy <subj> Iran <obj> Reduce Relations,['Reduce Relations'],1
70,Clashes erupt between Iranian security forces and protesters marking Mahsa Amini’s death.,<triplet> Iranian security forces <subj> protesters <obj> Fight,['Fight'],1
71,"Iranian security forces opened fire on protesters who massed in their thousands on Wednesday in Mahsa Amini’s's hometown to mark 40 days since Mahsa Amini’s's death, a human rights group said.",<triplet> human rights group <subj> Iranian security forces <obj> Make Public Statement <triplet> human rights group <subj> protesters <obj> Make Public Statement <triplet> Iranian security forces <subj> protesters <obj> Fight,"['Make Public Statement', 'Make Public Statement', 'Fight']",3
72,"As PM Rishi Sunak takes the reins in Britain, hopes for improved France-UK relations.",<triplet> France <subj> UK <obj> Engage In Diplomatic Cooperation,['Engage In Diplomatic Cooperation'],1
73,UN says world’s climate pledges still ‘nowhere near’ meeting 1.5C goal.,<triplet> UN <subj> world <obj> Make Public Statement,['Make Public Statement'],1
74,"world’s's current climate pledges are far off track to limit temperature rises to 1.5 degrees Celsius and will steer world’s towards “catastrophic” warming, UN said Wednesday.",<triplet> UN <subj> world <obj> Make Public Statement <triplet> UN <subj> world <obj> Make Public Statement,"['Make Public Statement', 'Make Public Statement']",2
75,Several people killed as gunmen open fire at shrine in Iran’s Shiraz.,<triplet> gunmen <subj> Several people <obj> Fight,['Fight'],1
76,Senate candidate's debate performance raises concerns amongst Democrats.,<triplet> Democrats <subj> Senate candidate <obj> Make Public Statement,['Make Public Statement'],1
77,"Senate candidate's debate performance fueled concern inside his party on Wednesday, as leaders assessed whether Senate candidate's debate performance would significantly shift a race that could decide control of the US Senate and the future of Joe Biden's presidency.",<triplet> leaders <subj> US Senate <obj> Make Public Statement <triplet> leaders <subj> Joe Biden <obj> Make Public Statement,"['Make Public Statement', 'Make Public Statement']",2
78,Smiles and a handshake as Macron and Germany’s Scholz plaster over differences.,<triplet> Macron <subj> Germany’s Scholz <obj> Express Intend to Cooperate,['Express Intend to Cooperate'],1
79,"Macron and Germany’s Scholz met in Paris with smiles and a handshake on Wednesday, but ignored questions on Macron and Germany’s Scholz's faltering relationship as Macron and Germany’s Scholz headed into the Elysee Palace.",<triplet> Macron <subj> Germany’s Scholz <obj> Consult,['Consult'],1
80,Italian PM Meloni easily wins 2nd and final confidence vote.,<triplet> confidence vote <subj> Italian PM Meloni <obj> Engage In Diplomatic Cooperation,['Engage In Diplomatic Cooperation'],1
81,Italy’s first far-right-led government since the fall of fascism in World War II can get down to business after Italian PM Meloni easily won 2nd and final confidence vote on Wednesday.,<triplet> confidence vote <subj> Italian PM Meloni <obj> Engage In Diplomatic Cooperation,['Engage In Diplomatic Cooperation'],1
82,"‘I felt solidarity’: Afghan women monitor Iran protests, vow to continue fight for basic rights.",<triplet> Afghan women <subj> Iran protests <obj> Make Public Statement,['Make Public Statement'],1
83,"Since the Taliban takeover last year, Afghan women have been demonstrating for Afghan women's right to education and employment.",<triplet> Afghan women <subj> Taliban <obj> Protest <triplet> Taliban <subj> Afghan women <obj> Coerce,"['Protest', 'Coerce']",2
85,Adidas ends partnership with Kanye West over antisemitic comments.,<triplet> Adidas <subj> Kanye West <obj> Reduce Relations,['Reduce Relations'],1
86,"Adidas ended a partnership that helped make Kanye West a billionaire and lent Adidas an edgy appeal, but ultimately couldn't survive a mounting outcry over Kanye West's offensive and antisemitic remarks.",<triplet> Adidas <subj> Kanye West <obj> Reduce Relations,['Reduce Relations'],1
88,"According to the Russian diplomat Vasily Nebenzya, the UNSC president’s note S/2016/44 entitled ""Security Council tasks under Security Council resolution 2231 (2015) says it clearly that Security Council is authorized to monitor the implementation of resolution on Iranian nuke program",<triplet> Russian diplomat Vasily Nebenzya <subj> UNSC president <obj> Make Public Statement <triplet> Security Council <subj> Iranian nuke program <obj> Investigate,"['Make Public Statement', 'Investigate']",2
89,US has been violating UN resolution on Iran since withdrawing from JCPOA in 2018.,<triplet> US <subj> Iran <obj> Reduce Relations,['Reduce Relations'],1
90,"According to the Russian diplomat Vasily Nebenzya, Western delegations are again demonstrating ""blatant hypocrisy and double standards",<triplet> Russian diplomat Vasily Nebenzya <subj> Western delegations <obj> Disapprove,['Disapprove'],1
92,Iranian president pledges retaliation to terrorist attack in Shiraz.,<triplet> Iranian president <subj> terrorist attack in Shiraz <obj> Make Public Statement,['Make Public Statement'],1
93,Iranian president expressed condolences to the families and loved ones of the victims in terrorist attack in Shiraz,<triplet> Iranian president <subj> families and loved ones of the victims <obj> Make Public Statement,['Make Public Statement'],1
95,"According to IRNA, IRGC intelligence officer was involved in pursuit of riot instigators",<triplet> IRNA <subj> IRGC intelligence officer <obj> Make Public Statement <triplet> IRNA <subj> riot instigators <obj> Make Public Statement <triplet> IRGC intelligence officer <subj> riot instigators <obj> Coerce,"['Make Public Statement', 'Make Public Statement', 'Coerce']",3
96,UN assumes Russia has notified US of strategic nuclear forces exercises.,<triplet> Russia <subj> US <obj> Exhibit Military Posture <triplet> UN <subj> Russia <obj> Make Public Statement <triplet> UN <subj> US <obj> Make Public Statement,"['Exhibit Military Posture', 'Make Public Statement', 'Make Public Statement']",3
97,Sunni extremists behind attack on mausoleum in southern Iran — news agency.,<triplet> Sunni extremists <subj> mausoleum <obj> Assault,['Assault'],1
99,Serbian parliament approves new government led by Ana Brnabic.,<triplet> Serbian parliament <subj> new government <obj> Engage In Diplomatic Cooperation <triplet> Serbian parliament <subj> Ana Brnabic <obj> Engage In Diplomatic Cooperation,"['Engage In Diplomatic Cooperation', 'Engage In Diplomatic Cooperation']",2
100,KGB says situation in Belarus to get rocky in November or December.,<triplet> KGB <subj> Belarus <obj> Make Public Statement,['Make Public Statement'],1
101,President of Guinea-Bissau visits Kiev after trip to Moscow.,<triplet> President of Guinea-Bissau <subj> Kiev <obj> Consult <triplet> President of Guinea-Bissau <subj> Moscow <obj> Consult,"['Consult', 'Consult']",2
102,It is reported that President of Guinea-Bissau visited Moscow on Tuesday and met with Russian President Vladimir Putin,<triplet> President of Guinea-Bissau <subj> Russian President Vladimir Putin <obj> Consult <triplet> President of Guinea-Bissau <subj> Moscow <obj> Consult,"['Consult', 'Consult']",2
103,Law enforcers detained two of the terrorists,<triplet> Law enforcers <subj> two of the terrorists <obj> Coerce,['Coerce'],1
104,"Multipolar world order prevents West from isolating Russia, Swiss government says.",<triplet> Swiss government <subj> West <obj> Make Public Statement <triplet> Swiss government <subj> Russia <obj> Make Public Statement,"['Make Public Statement', 'Make Public Statement']",2
105,Denmark won’t comment on Nord Stream probe until Denmark has smoking gun — Danish Navy Chief.,<triplet> Denmark <subj> Nord Stream probe <obj> Make Public Statement,['Make Public Statement'],1
107,"85 senators cast 85 senators's votes and all of 85 senators were in favor of the resolution, which condemned Russia actions in Ukraine",<triplet> 85 senators <subj> Russia <obj> Disapprove,['Disapprove'],1
108,"West used migration crisis to build up forces near Belarusian border, says security chief.",<triplet> West <subj> Belarusian border <obj> Exhibit Military Posture <triplet> security chief <subj> West <obj> Make Public Statement <triplet> security chief <subj> Belarusian border <obj> Make Public Statement,"['Exhibit Military Posture', 'Make Public Statement', 'Make Public Statement']",3
109,"Armenian prime minister unveils plans to meet with Russian, Azerbaijani leaders next week.",<triplet> Armenian prime minister <subj> Russian <obj> Consult <triplet> Armenian prime minister <subj> Azerbaijani leaders <obj> Consult,"['Consult', 'Consult']",2
110,Armenian prime minister said plans were to discuss security and stability in Nagorno-Karabakh,<triplet> Armenian prime minister <subj> Nagorno-Karabakh <obj> Make Public Statement,['Make Public Statement'],1
112,"As Pashinyan noted, ""there must be a visible dialogue at the international level between Nagorno-Karabakh and Azerbaijan""",<triplet> Pashinyan <subj> Nagorno-Karabakh <obj> Make Public Statement <triplet> Pashinyan <subj> Azerbaijan <obj> Make Public Statement,"['Make Public Statement', 'Make Public Statement']",2
113,Grossi to visit UN Security Council on Oct 27 to push for security zone around NPP.,<triplet> Grossi <subj> UN Security Council <obj> Consult,['Consult'],1
114,"Putin said, without offering evidence, that Ukraine was planning to detonate a bomb designed to spread radioactive material.",<triplet> Putin <subj> Ukraine <obj> Disapprove,['Disapprove'],1
116,"The opposition’s lines of attack, starting with UK Leader Rishi Sunak's choice of home secretary and UK Leader Rishi Sunak's wife’s wealth, gave a glimpse of where The opposition’s sees vulnerabilities in the governing Conservatives.",<triplet> The opposition <subj> home secretary <obj> Disapprove <triplet> The opposition <subj> UK Leader Rishi Sunak's wife <obj> Disapprove,"['Disapprove', 'Disapprove']",2
117,Dutch Are Investigating Reported Illegal Chinese Police Stations.,<triplet> Dutch <subj> Chinese Police Stations <obj> Investigate,['Investigate'],1
118,Reports by news media and a human rights group say Chinese police forces opened Reported Illegal Chinese Police Stations.,<triplet> a human rights <subj> Chinese police forces <obj> Investigate <triplet> a human rights <subj> Chinese Police Stations <obj> Investigate,"['Investigate', 'Investigate']",2
119,Israeli Blockade in West Bank Angers Palestinians.,<triplet> Israeli <subj> Palestinians <obj> Fight,['Fight'],1
120,"To fight a growing insurgency, the Israeli Army has closed off several entrances to a major Palestinian city, harming a major Palestinian city's economy and stirring more protest.",<triplet> protest <subj> Israeli Army <obj> Protest <triplet> Israeli Army <subj> major Palestinian city <obj> Fight,"['Protest', 'Fight']",2
121,"Tens of Thousands in Iran Mourn Mahsa Amini, Whose Death Set Off Protests.",<triplet> Tens of Thousands <subj> Mahsa Amini <obj> Make Public Statement <triplet> Protests <subj> Iran <obj> Protest,"['Make Public Statement', 'Protest']",2
122,"While the security forces cracked down on demonstrations across Iran, state media reported a deadly attack on a mosque in the southern city of Shiraz, adding to the atmosphere of tension.",<triplet> state media <subj> a deadly attack <obj> Make Public Statement <triplet> security forces <subj> demonstrations <obj> Fight,"['Make Public Statement', 'Fight']",2
123,"Shunned by the West, Russia and Myanmar Form a Partnership of Unequals.",<triplet> the West <subj> Russia <obj> Disapprove <triplet> the West <subj> Myanmar <obj> Disapprove <triplet> Russia <subj> Myanmar <obj> Engage In Material Cooperation,"['Disapprove', 'Disapprove', 'Engage In Material Cooperation']",3
124,"Myanmar gets resources and ammunition, while Russia gets a customer at a time when Russia is struggling for revenues.",<triplet> Myanmar <subj> Russia <obj> Engage In Material Cooperation,['Engage In Material Cooperation'],1
125,Each can use the other to undermine Western sanctions.,<triplet> Western <subj> Each <obj> Reduce Relations,['Reduce Relations'],1
126,"A 23-Million-Year-Old Fossil was taken from a riverbank in broad daylight by two men with a rock saw and chisel, residents say.",<triplet> residents <subj> two men <obj> Make Public Statement,['Make Public Statement'],1
127,"The idea of radiological dispersal devices is not new, and Russia's claim that Ukraine would build and use one has been met with scorn from the West.",<triplet> the West <subj> Russia <obj> Disapprove <triplet> Russia <subj> Ukraine <obj> Make Public Statement,"['Disapprove', 'Make Public Statement']",2
129,Airstrike Kills at Least 80 During Outdoor Concert in Myanmar.,<triplet> Airstrike <subj> at Least 80 <obj> Fight,['Fight'],1
130,Germany’s Allies Challenge Germany’s's Stances on Ukraine and Energy.,<triplet> Germany’s Allies <subj> Germany <obj> Make Public Statement,['Make Public Statement'],1
131,Germany’s has dismissed criticism of Germany’s's refusal to provide modern tanks to Ukraine and Germany’s's massive energy subsidy for Germany’s's own citizens.,<triplet> Germany <subj> Ukraine <obj> Reject <triplet> Germany <subj> Germany’s's own citizens <obj> Provide Aid,"['Reject', 'Provide Aid']",2
132,Putin Wants to Divide Ukrainians.,<triplet> Putin <subj> Ukrainians <obj> Reduce Relations,['Reduce Relations'],1
133,"Residents curse Russia, but also express frustration with Residents's own leaders.",<triplet> Residents <subj> Russia <obj> Disapprove <triplet> Residents <subj> Residents's own leaders <obj> Disapprove,"['Disapprove', 'Disapprove']",2
134,"War in Ukraine Likely to Speed, Not Slow, Shift to Clean Energy, I.E.A. Says.",<triplet> I.E.A. <subj> Ukraine <obj> Make Public Statement,['Make Public Statement'],1
135,"While some nations are burning more coal this year in response to natural-gas shortages spurred by Russia’s invasion of Ukraine, that effect is expected to be short-lived.",<triplet> Russia <subj> Ukraine <obj> Fight,['Fight'],1
136,A former parliamentary staffer is accused of raping a colleague in the defense minister’s office.,<triplet> A former parliamentary staffer <subj> a colleague <obj> Assault,['Assault'],1
137,Australian Judge said a juror had brought an article on sexual assault cases into the jury room against Australian Judge's instructions.,<triplet> Australian Judge <subj> juror <obj> Make Public Statement <triplet> juror <subj> Australian Judge <obj> Reject,"['Make Public Statement', 'Reject']",2
138,Reports of Looting in Kherson as Ukrainians Battle to Retake Kherson.,<triplet> Ukrainians <subj> Kherson <obj> Fight,['Fight'],1
140,Your Thursday Briefing: Iran’s Protests Intensify.,<triplet> Protests <subj> Iran <obj> Protest,['Protest'],1
141,Plus Myanmar gets closer to Russia and a dire climate report.,<triplet> Myanmar <subj> Russia <obj> Express Intend to Cooperate,['Express Intend to Cooperate'],1
142,U.S. Looks to Reorient Ties With Saudi Arabia Over Oil Production Cut.,<triplet> U.S. <subj> Saudi Arabia <obj> Express Intend to Cooperate,['Express Intend to Cooperate'],1
143,"Saudi leaders decided earlier this month to join Russia in leading a cartel of oil producers to announce Oil Production Cut production by two million barrels a day, which could raise prices and help Russia.",<triplet> Saudi leaders <subj> Russia <obj> Engage In Material Cooperation <triplet> cartel of oil producers <subj> Russia <obj> Provide Aid <triplet> Saudi leaders <subj> cartel of oil producers <obj> Engage In Material Cooperation,"['Engage In Material Cooperation', 'Provide Aid', 'Engage In Material Cooperation']",3
144,US Sanctions Target Russian Efforts to Manipulate Politics in Moldova.,<triplet> US <subj> Russian <obj> Reduce Relations <triplet> Russian <subj> Moldova <obj> Reduce Relations,"['Reduce Relations', 'Reduce Relations']",2
145,"Moldova, like Moldova's neighbor Ukraine, wants closer relations with the West but has long battled Russian political interference and intimidation.",<triplet> Moldova's neighbor Ukraine <subj> the West <obj> Express Intend to Cooperate <triplet> Moldova <subj> the West <obj> Express Intend to Cooperate,"['Express Intend to Cooperate', 'Express Intend to Cooperate']",2
147,"A new push by Russia frames the war as a counterterrorism operation and seeks to rally Russians to support the war, officials and researchers say.",<triplet> officials and researchers <subj> Russia <obj> Make Public Statement <triplet> officials and researchers <subj> Russians <obj> Make Public Statement,"['Make Public Statement', 'Make Public Statement']",2
148,"After Saudi leaders pushed to slash oil production despite a visit by President Biden, American officials have been left fuming that American officials were duped.",<triplet> President Biden <subj> Saudi leaders <obj> Consult <triplet> American officials <subj> Saudi leaders <obj> Disapprove,"['Consult', 'Disapprove']",2
150,Tensions are flaring between Germany and Germany's allies.,<triplet> Germany's allies <subj> Germany <obj> Disapprove,['Disapprove'],1
152,Brittney Griner’s Prison Term Is Upheld by Russian Court.,<triplet> Russian Court <subj> Brittney Griner <obj> Coerce,['Coerce'],1
153,Brittney Griner’s is facing nine years in a Russian prison on a drug charge.,<triplet> Russian <subj> Brittney Griner <obj> Coerce,['Coerce'],1
154,Plus Myanmar’s junta kills dozens and Brittney Griner faces nine years in a Russian penal colony.,<triplet> Myanmar <subj> dozens <obj> Fight <triplet> Russian <subj> Brittney Griner <obj> Coerce,"['Fight', 'Coerce']",2
155,"Rishi Sunak’s named people with high-level experience, several of people with high-level experience to posts they have held before, sending a message of stability after a period of upheaval.",<triplet> Rishi Sunak <subj> people <obj> Make Public Statement,['Make Public Statement'],1
156,"While Rishi Sunak was among the first to come out in favor of Britain’s exit from the European Union, Rishi Sunak hasn’t shared the Conservative Party’s hard-line approach.",<triplet> Rishi Sunak <subj> European Union <obj> Disapprove,['Disapprove'],1
