,subj,rel,obj,text
10,Dawn,try,Pakistan prime minister Shehbaz Sharif,"Separately, Dawn reported Pakistan prime minister Shehbaz Sharif during a two-day official visit to China will try to revive the multi-billion-dollar China-Pakistan Economic Corridor (CPEC) and expand trade and investment ties with China by making optimal use of the second phase of the China-Pakistan Free Trade Agreement."
11,Pakistan prime minister Shehbaz Sharif,be,Confucius,"“There are three types of good friends: one that is direct and honest; one that is trustworthy, dependable and generous when you need help; and one that is knowledgeable and talented to guide you and show you what you can't see,” Pakistan prime minister Shehbaz Sharif quoted Confucius as having once said about friends and friendships."
12,Odesa's military administration,destine,Ethiopia,"One of 12 ships carrying 354,500 tonnes of food was destined for Ethiopia, where ""the real possibility of mass starvation"" existed, Odesa's military administration added."
13,Brazil's electoral chief,have,Luíz Inácio Lula da Silva,"More than a day after Brazil's electoral chief declared Luíz Inácio Lula da Silva the winner of the presidential election, defeated incumbent Jair Bolsonaro has yet to concede."
14,Luíz Inácio Lula da Silva,touch,Luíz Inácio Lula da Silva's victory speech,"In Luíz Inácio Lula da Silva's victory speech, Luíz Inácio Lula da Silva touched on the political rift running through Brazil's which further deepened during a bitterly fought and often acrimonious election campaign."
15,the Associated Press,be,Iran's judiciary chief,"""Those who intend to confront and subvert the government are dependent on foreigners and will be punished according to legal standards,"" the Associated Press cited Iran's judiciary chief, Gholamhossein Mohseni Ejei as saying."
16,Stephen King,be,A US court,"It's kind of ridiculous,"" Stephen King told A US court.  """
17,A billionaire Russian banker,live,Oleg Tinkov,"A billionaire Russian banker, Oleg Tinkov is reported to be living in London, but is subject to UK sanctions, like many other members of Russia's's business elite."
18,A billionaire Russian banker,hate,Oleg Tinkov,"A billionaire Russian banker, Oleg Tinkov continued: ""A billionaire Russian banker, Oleg Tinkov hate Putin's Russia, but love all Russians who are clearly against the war in Ukraine!"""
19,another Russian banker,have,British citizenship,"another Russian banker, Nikolay Storonsky has British citizenship and founded the British fintech start-up Revolut."
20,Twitter's co-founder Jack Dorsey,roll,-founder Jack Dorsey's entire stake,"Twitter's co-founder Jack Dorsey has rolled Twitter co-founder Jack Dorsey's entire stake of 18m shares, worth almost $978m at the buyout price of $54."
21,technology investor Jason Calacanis,hang,technology investor Jason Calacanis,"Meanwhile, technology investor Jason Calacanis who changed his Twitter's bio to ""chief meme officer"", said technology investor Jason Calacanis who changed his Twitter bio to ""chief meme officer"" was ""hanging out at Twitter's a bit . . .  during the transition""."
22,Elon Musk,revamp,Twitter's blue tick,Elon Musk says Twitter's blue tick to be revamped What next for Twitter's under Elon Musk?
23,Senator Chris Murphy,write,Twitter,"""the government should be concerned that the Saudis, who have a clear interest in repressing political speech and impacting US politics, are now the second-largest owner of Twitter's,"" Senator Chris Murphy, a Democrat, wrote on Twitter's."
24,Prince Alwaleed,align,"the Kingdom Holding Company's ""long-term investment strategy","Prince Alwaleed, who was a major Twitter's investor prior to the Elon Musk deal, has tweeted the stake aligns with the Kingdom Holding Company's ""long-term investment strategy""."
25,Liudmyla Mymrykova,love,Liudmyla Mymrykova's home village,""" Liudmyla Mymrykova loves Liudmyla Mymrykova's home village."
26,Liudmyla Mymrykova,think,Liudmyla Mymrykova's family,Liudmyla Mymrykova thought of Liudmyla Mymrykova's family.
27,Liudmyla Mymrykova,happen,Russia,"a soldier did not leave, Liudmyla Mymrykova says, until 05:20 the next morning, telling Liudmyla Mymrykova that if Liudmyla Mymrykova reported what had happened to Russia's, a soldier would come back to kill Liudmyla Mymrykova."
28,Nineteen-year-old Kim Dae-hui's face,sink,Nineteen-year-old Kim Dae-hui's hands,"""his friend Raghu was more patient than Nineteen-year-old Kim Dae-hui, his friend Raghu never got annoyed,"" Nineteen-year-old Kim Dae-hui remembered, removing Nineteen-year-old Kim Dae-hui's glasses to allow Nineteen-year-old Kim Dae-hui's face to sink into Nineteen-year-old Kim Dae-hui's hands."
29,Kim Dae-hui,convince,Nineteen-year-old Kim Dae-hui,"Nineteen-year-old Kim Dae-hui convinced Nineteen-year-old Kim Dae-hui it wasn't Rahgu, just someone similar looking."
30,Kim Dae-hui,be,Nineteen-year-old Kim Dae-hui,"Nineteen-year-old Kim Dae-hui convinced Nineteen-year-old Kim Dae-hui it wasn't Rahgu, just someone similar looking."
31,Kim Dae-hui,looking,Nineteen-year-old Kim Dae-hui,"Nineteen-year-old Kim Dae-hui convinced Nineteen-year-old Kim Dae-hui it wasn't Rahgu, just someone similar looking."
32,Sydney woman Grace Rached,care,Sydney woman Grace Rached,"""Sydney woman Grace Rached, who would have celebrated her 24th birthday next month cared deeply about Sydney woman Grace Rached, who would have celebrated her 24th birthday next month's two sisters and was a wonderful role model. """
33,Shahn Devendran,be,Australian newspaper,"""Sydney woman Grace Rached, who would have celebrated her 24th birthday next month was a fun, friendly, kind-hearted and passionate individual who loved to make films and make people laugh,"" Shahn Devendran told Australian newspaper The Sydney Morning Herald."
34,Dinh Thi Tuyen,happen,the South Korean capital,"Dinh Thi Tuyen, from Binh Dinh province in central Vietnam's mother said Dinh Thi Tuyen, from Binh Dinh province in central Vietnam fainted, and it felt like Dinh Thi Tuyen, from Binh Dinh province in central Vietnam's world had collapsed, when Dinh Thi Tuyen, from Binh Dinh province in central Vietnam heard what had happened in the South Korean capital, Seoul."
35,""" Dinh Thi Tuyen",weep,The BBC's Vietnamese service,"""Dinh Thi Tuyen, from Binh Dinh province in central Vietnam watched the news and panicked; Dinh Thi Tuyen, from Binh Dinh province in central Vietnam called Dinh Thi Tuyen, from Binh Dinh province in central Vietnam's daughter but could not reach Tomikawa Mei, from Hokkaido in northern Japan even though Tomikawa Mei, from Hokkaido in northern Japan's phone was still ringing,"" Dinh Thi Tuyen, from Binh Dinh province in central Vietnam told The BBC's Vietnamese service as Dinh Thi Tuyen, from Binh Dinh province in central Vietnam wept."
36,Tomikawa Mei,be,Dinh Thi Tuyen,"""Tomikawa Mei, from Hokkaido in northern Japan's friends told Dinh Thi Tuyen, from Binh Dinh province in central Vietnam that Tomikawa Mei, from Hokkaido in northern Japan had been in the area [of the crush] and then got lost."
37,Tomikawa Mei,lose,Hokkaido,"Tomikawa Mei, from Hokkaido in northern Japan is the family's only child and how can the family bear to lose Tomikawa Mei, from Hokkaido in northern Japan?"
38,Tomikawa Mei,love,Hokkaido,"the family are all waiting for Tomikawa Mei, from Hokkaido in northern Japan's body to come back and be in the arms of those who loved Tomikawa Mei, from Hokkaido in northern Japan."
39,Madina Sherniyazova,major,Korean,"Madina Sherniyazova, from the city of Aktobe in Kazakhstan majored in Korean at Kazan University in Russia."
40,Natnicha Makaew,teach,Korean,"Natnicha Makaew, from Petchabun province in central Thailand taught Korean in Thailand after majoring in Korean at university, but when the pandemic hit, Natnicha Makaew, from Petchabun province in central Thailand's teaching career was disrupted, according to Korean media outlets."
41,Natnicha Makaew,teach,Korean,"Natnicha Makaew, from Petchabun province in central Thailand taught Korean in Thailand after majoring in Korean at university, but when the pandemic hit, Natnicha Makaew, from Petchabun province in central Thailand's teaching career was disrupted, according to Korean media outlets."
42,Subhashbhai,sit,the BBC,"""Subhashbhai, a witness to the tragedy's friends and Subhashbhai, a witness to the tragedy were sitting [near A bridge in the western Indian state of Gujarat] after work,"" Subhashbhai, a witness to the tragedy, told the BBC."
43,Ifeanyi Ashley's wife,house,Nigeria's south-eastern Anambra state,"Reporting by Tejas Vaidya, Roxy Gagdekar Chhara and Rajesh Ambalia for the BBC Follow live updates here: India mourns as 141 die in bridge collapse In pictures: India bridge collapse tragedy</Text></Article><Article url=""https://www.bbc.co.uk/news/world-europe-63426939?at_medium=RSS&amp;at_campaign=KARANGA"" paper=""bbc""><Text>nan</Text></Article><Article url=""https://www.bbc.co.uk/news/world-africa-63411446?at_medium=RSS&amp;at_campaign=KARANGA"" paper=""bbc""><Text> By the time Ifeanyi Ashley returned home from work, floodwaters had swept through Ifeanyi Ashley's bungalow which housed Ifeanyi Ashley's wife, children, and parents in Ogbaru, in Nigeria's south-eastern Anambra state, leaving Ifeanyi Ashley's armchairs soaked and Ifeanyi Ashley's bed covered in mud."
44,Jiga Barnabas,have,Mrs Lawal,"Like Mrs Lawal in Kogi, one of the worst-hit states, Jiga Barnabas also has nowhere else to go."
45,Narayana Rao,cultivate,Narayana Rao's 30-acre,"Narayana Rao, began cultivating oil palm eight years ago on Narayana Rao's 30-acre (12."
46,Narayana Rao'll,uproot,Narayana Rao's lifetime,"Narayana Rao don't think Narayana Rao'll uproot these plants in Narayana Rao's lifetime,"" Narayana Rao says."
47,Putin,do,Ukraine,That's exactly what Putin did with Ukraine.
48,Erdogan,do,Greece,Erdogan could do the same thing with Greece next year and try to create a crisis because otherwise Erdogan might lose the election.
49,Mr.  Farrar,fear,Mr.  Farrar's personal safety,"DER SPIEGEL: Mr.  Farrar's book on the pandemic, ""Spike: The Virus vs.  the People,"" published in the spring, reads like a detective story in places when Mr.  Farrar describe how Mr.  Farrar feared for Mr.  Farrar's personal safety when Mr.  Farrar thought COVID might have escaped from a Chinese laboratory."
50,Mr.  Farrar,convince,the British government,"Mr.  Farrar: At the time, Mr.  Farrar felt like Mr.  Farrar was trying as hard as Mr.  Farrar could to convince the British government to take tougher corona measures."
51,Iran,bind,Shiites,"Officials there claim that, with the help of the Hamburg Islamic Center (IZH) located at a prime address on Alster Lake, Iran’s is seeking to ""bind Shiites of different nationalities to Iran’s and to spread the basic social, political and religious values of the Iranian state in Europe. """
52,Iran,bind,Shiites,"Officials there claim that, with the help of the Hamburg Islamic Center (IZH) located at a prime address on Alster Lake, Iran’s is seeking to ""bind Shiites of different nationalities to Iran’s and to spread the basic social, political and religious values of the Iranian state in Europe. """
53,The Quds Brigade,recruit,Shiites,"According to information obtained by DER SPIEGEL, The Quds Brigade, the elite foreign unit of the Revolutionary Guards also try to recruit Shiites from other countries."
54,Schura,work,Hamburg,"Schura, the council of Islamic communities in Hamburg works together with Hamburg and helps to shape religious education in the schools."
55,Iranian officials,coerce,Nika Shakarami family,"According to reporting by the BBC, Iranian officials coerced Nika Shakarami family, under threat of violence, to falsely state that Nika Shakarami's death was the result of an accident."
56,Shervin HajipourWhen night,fall,Tehran,"- From the protest song ""Baraye"" (""For""), by Shervin HajipourWhen night falls over Tehran, the people elevate the people's voices, says Anoush."
57,Anoush,cover,Anoush's hair,"Instead of wearing a hijab, Anoush ties colorful scarves around Anoush's head that barely cover Anoush's hair at all."
58,Anoush,’,the Islamic Republic,"But now, Anoush says, Anoush has understood that Iran’s not the country Anoush hates, but the Islamic Republic."
59,the Islamist dictatorship,treat,Iranian citizens,"the anger is aimed at the Islamist regime the Islamist dictatorship, against the Islamist dictatorship's model for society, against the way the Islamist dictatorship treats Iranian citizens, against the lack of future prospects and against the discrimination of minorities."
60,the 22-year-old Jina Mahsa Amini's mother,wear,an Iranian journalist,the 22-year-old Jina Mahsa Amini's mother would later tell an Iranian journalist that Her mother's daughter had been wearing a long robe and a hijab.
61,Shervin HajipourWhen's song,click,Instagram,"Shervin HajipourWhen's song with the famous lyric ""baraye,"" (""for"") has been clicked on 40 million times on Instagram."
62,The U. S.,classify,the Revolutionary Guards,"The U. S.  classifies the Revolutionary Guards, sometimes called the Pasdaran as a terrorist organization, but the European Union does not."
63,the climber Elnaz Rekabi,lure,the Iranian Embassy,"IranWire, a London-based diaspora news site founded by a former Newsweek journalist, reported afterward that the climber Elnaz Rekabi, 33, of Tehran had been lured to the Iranian Embassy under a pretext, and the climber Elnaz Rekabi, 33, of Tehran's passport and mobile phone had been confiscated."
64,the Islamist dictatorship,cover,the Islamist dictatorship's acts,the Islamist dictatorship is attempting to cover up the Islamist dictatorship's acts of violence.
65,Chinese journalist Gao Yu,leak,Document Number Nine,"Just a few months after an aspiring young politician took office, Chinese journalist Gao Yu leaked Document Number Nine, for which Chinese journalist Gao Yu was sentenced to five years in prison."
66,Joseph Torigian,seem,China's authoritarian system,"In China's authoritarian system, it seems advisable for many people to hide many people's views, but an aspiring young politician was particularly good at it, Joseph Torigian, who teaches at the American University in Washington and has written a biography of Xi’s father says."
67,the United States,begrudge,China China's rise,"From China's perspective, the United States  is standing in the way of history because the United States allegedly begrudges China China's rise."
68,China,hostage,two Canadian citizens,"In order to force Canada to back down in a dispute centered on the detention of Huawei CFO Meng Wanzhou, China held two Canadian citizens hostage for almost 1,000 days."
69,the German economy,tie,China,Undoing the economic knots that tie the German economy to China would likely be far more expensive and complicated than doing without Russian oil and natural gas.
70,Li Datong,lose,Li Datong's job,"Li Datong has been seen as a trouble-maker ever since 2006, when Li Datong was the editor-in-chief of a party publication and chose to print an untoward article, whereupon Li Datong lost Li Datong's job."
71,Bo Xilai,become,the 2012 party congress,"It was seen as essentially a foregone conclusion that Bo Xilai, head of the party in Chongqing would become a member of the Politburo Standing Committee at the 2012 party congress, a position that would have enabled Bo Xilai, head of the party in Chongqing to stymie an aspiring young politician."
72,Scott Kennedy,summarize,the Center,"""Scott Kennedy from the Center for Strategic and International Studies think the people are hungry for exchange,"" Scott Kennedy from the Center for Strategic and International Studies says in summarizing Scott Kennedy from the Center for Strategic and International Studies's conversations with academics, businesspeople and officials in Beijing."
73,Giuseppe Conte,become,Italy’s surprise prime minister,"Giuseppe Conte’s became Italy’s surprise prime minister in 2018, back when Giuseppe Conte’s was a virtually unknown law professor."
74,Giuseppe Conte,have,many Germans,"DER SPIEGEL: Giuseppe Conte’s, many Germans are having a hard time understanding his adversary Giorgia Meloni …Giuseppe Conte’s: … a problem shared by many Italians."
75,Giuseppe Conte,have,Giuseppe Conte’s's own body,"Giuseppe Conte’s have Giuseppe Conte’s's own body of experience with his deputy prime minister, the right-wing populist Matteo Salvini."
76,the Social Democrats,renew,the Social Democrats,Giuseppe Conte’s hope the Social Democrats will renew the Social Democrats and find a clear profile.
77,Tehran's confessional allies,stretch,Syria,Tehran's confessional allies stretch from Syria to Bahrain and from the Hezbollah in Lebanon to the Houthi rebels in Yemen.
78,Iran,mean,Iran’s's turbulent neighborhood,But what do The uprising mean for Iran’s and Iran’s's turbulent neighborhood?
79,Nasima,write,"*'s ""wish list","""Close the embassies of the Islamist regime,"" Nasima* has written on Nasima*'s ""wish list"" for the international community."
80,Nasima,write,"*'s ""wish list","""Close the embassies of the Islamist regime,"" Nasima* has written on Nasima*'s ""wish list"" for the international community."
81,Iranian government officials,steal,the Iranian people,It is money that Iranian government officials have stolen from the Iranian people.
82,Olli Heinonen,be,DER SPIEGEL,"From there, the step to a bomb is not large, Olli Heinonen, a former deputy director general at the IAEA told DER SPIEGEL."
83,Björn Höcke,shift,Björn Höcke's attentions,Björn Höcke then shifts Björn Höcke's attentions to Björn Höcke's belt.
84,The party’s national congress,solidify,Höcke’s power,"the radical right-wing Alternative for Germany (AfD) party's national congress in Riesa just over three months ago didn’t just solidify Björn Höcke's power, The party’s national congress in Riesa just over three months ago also expanded Höcke’s power."
85,Björn Höcke,live,Björn Höcke's wife,"Björn Höcke has lived with Björn Höcke's wife, two sons and two daughters in the small municipality of Bornhagen, the eastern German state of Thuringia, since 2008."
86,Björn Höcke,modify,Björn Höcke's rhetoric,"Björn Höcke has, to be sure, modified Björn Höcke's rhetoric somewhat, no longer calling the Holocaust memorial in Berlin a ""shameful monument"" and has not repeated Björn Höcke's comment that it is problematic ""that Adolf Hitler’s is portrayed as a personification of absolute evil. """
87,Björn Höcke,work,Götz Kubitschek,"Björn Höcke also works closely together with Götz Kubitschek, who referred to Björn Höcke back in 2015 as an ""old friend. """
88,U. S.  troops,station,Germany,"AfD party leader Tino Chrupalla speaks much like a Reichsburger – a group that doesn’t recognize the legitimacy of Germany – when AfD party leader Tino Chrupalla says that Germany isn’t a ""sovereign country"" as long as U. S.  troops are stationed in Germany."
89,AfD party leader Tino Chrupalla,exert,AfD party leader Tino Chrupalla's listeners,"Taking on an grumbling tone, AfD party leader Tino Chrupalla urges AfD party leader Tino Chrupalla's listeners to ""finally exert pressure on political leaders"" through trade organizations, chambers of commerce and industry and chambers of handicrafts ""so that something finally changes in Germany. """
90,Alice Weidel,hire,a Kubitschek family member,Alice Weidel even hired a Kubitschek family member as an adviser and Alice Weidel's tone grew sharper.
91,Höcke,position,Höcke,"In standing up to Björn Höcke, Höcke and Kubitschek have – similar to former party leader Jörg Meuthen before Höcke and Kubitschek – positioned Höcke and Kubitschek as Björn Höcke adversaries."
92,Höcke,position,Höcke,"In standing up to Björn Höcke, Höcke and Kubitschek have – similar to former party leader Jörg Meuthen before Höcke and Kubitschek – positioned Höcke and Kubitschek as Björn Höcke adversaries."
93,Maxim Dlugy,play,Maxim Dlugy,Maxim Dlugy: Maxim Dlugy was playing an online tournament on Maxim Dlugy's account in 2017.
94,Maxim Dlugy,think,Maxim Dlugy,But Maxim Dlugy thought to Maxim Dlugy: What kind of cheating?
95,Maxim Dlugy,know,Hans Maxim Dlugy,How did Maxim Dlugy get to know Hans Maxim Dlugy: his opponent Hans Niemann is a friend.
96,Maxim Dlugy,happen,world champion Magnus Carlsen's head,Maxim Dlugy: Maxim Dlugy think something happened in world champion Magnus Carlsen's head.
97,Maxim Dlugy,have,Maxim Dlugy,"Maxim Dlugy had nothing to do with his opponent Hans Niemann at that time, Maxim Dlugy only gave world champion Magnus Carlsen advice now and then."
98,world champion Magnus Carlsen,do,Maxim Dlugy,And suddenly Maxim Dlugy am dragged into this without world champion Magnus Carlsen thinking about what world champion Magnus Carlsen is doing to Maxim Dlugy.
99,Europeans,treat,Europeans's borders,The report is of great public interest in that The report provides the best foundations yet for Europeans to debate how asylum-seekers should be treated at Europeans's borders.
100,Raymond,turn,Raymond's mobile,"Embarrassed, Raymond turns off Raymond's mobile."
101,the Ukrainian army,retake,Vyshneva,"Three weeks ago, the Ukrainian army retook Vyshneva, as part of the rapid offensive that pushed Russian troops back 70 kilometers to the east within just a few days."
102,Nina Chemeris,live,Vyshneva,"For the time being, Nina Chemeris, 60, no longer lives in Vyshneva, having returned to Lutsk, the western Ukrainian town of Nina Chemeris, 60,'s birth."
103,Nina Chemeris,know,Vyshneva,"Nina Chemeris, 60, knows the history of Vyshneva by heart: Vyshneva was founded in 1792 and 90 percent destroyed in II."
104,pro-Moscow separatists,destabilize,Ukraine,"But the first rifts in Vyshneva began showing up in 2014, says Nina Chemeris, 60,, when pro-Moscow separatists in the nearby Donbas began to destabilize Ukraine."
105,Nina Chemeris,have,Nina Chemeris,"The man told Nina Chemeris, 60, that Nina Chemeris, 60, had a choice: Either Nina Chemeris, 60, could collaborate with the Russians, or Nina Chemeris, 60, and Nina Chemeris, 60,'s family would be in great danger."
106,Vasyl Vassylovich Litvin,lose,Nina Chemeris,"Vasyl Vassylovich Litvin, 52, had lost out to Nina Chemeris, 60, in two mayoral elections and had been working as the janitor for the agricultural operation."
107,Vasyl Vassylovich Litvin,buddie,the self-proclaimed Luhansk People's Republic,"In Vyshneva, it is said, Vasyl Vassylovich Litvin, 52, buddied up to the soldiers from the self-proclaimed Luhansk People's Republic, procuring gasoline for the soldiers from the Luhansk People's Republic and inviting the soldiers from the Luhansk People's Republic for grilled shashlik."
108,Vyshneva,turn,the Ukrainian army,"Nina Chemeris, 60, believes that the Russians had wanted to strike fear into Vyshneva and to turn Vyshneva against the Ukrainian army."
109,Vasyl Vassylovich Litvin,pack,Vasyl Vassylovich Litvin,"Two days later, Vasyl Vassylovich Litvin, 52, packed up Vasyl Vassylovich Litvin, 52,'s dark blue Lada, while The former mathematics and physics teacher from the school, Anatoliy Alexandrovich Busin, 59, apparently organized the escape of the collaborators to Russia."
110,Vladimir Putin,fear,Vladimir Putin's's hold,"Vladimir Putin's will have to fear for Vladimir Putin's's hold on power if Vladimir Putin's loses the war in Ukraine, which is part of what makes the current situation so dangerous."
111,Biden,know,Biden,"Biden knows Vladimir Putin's pretty well, Biden said Thursday."
112,the Germans,ruffle,the Germans,"From Christoph Heusgen, Merkel's former security policy adviser and the new head of the influential Munich Security Conference's point of view, it would be extremely dangerous if the Germans allowed the Germans to be ruffled by Russia's intimidation strategy."
113,Ben Hodges,foresee,a massive U. S.  conventional response,"Ben Hodges, who served as commander of the U. S.  Army in Europe until a few years ago, foresees a massive U. S.  conventional response."
114,Ben Hodges,tailor,a massive U. S.  conventional response,"Ben Hodges, who served as commander of the U. S.  Army in Europe until a few years ago says that a massive U. S.  conventional response would be precisely tailored to Russian action, but that a massive U. S.  conventional response would be destructive enough to send a clear message to Moscow."
115,Ben Hodges,tailor,a massive U. S.  conventional response,"Ben Hodges, who served as commander of the U. S.  Army in Europe until a few years ago says that a massive U. S.  conventional response would be precisely tailored to Russian action, but that a massive U. S.  conventional response would be destructive enough to send a clear message to Moscow."
116,Vladimir Putin,have,Soviet leader Nikita Khrushchev,"And unlike Soviet leader Nikita Khrushchev, Vladimir Putin's has Vladimir Putin's's back to the WallBy."
117,Chechen ruler Ramzan Kadyrov,be,Chechen units,"Two men in particular are active in Ukraine: Chechen ruler Ramzan Kadyrov has deployed Chechen units of the National Guard, and military entrepreneur Yevgeny Prigozhin controls the Wagner group."
118,Mr.  Kasparov,like,Mr.  Kasparov,Is the flag on your lapel a made-up flag of the Russia Mr.  Kasparov would like to Mr.  Kasparov: The idea of washing the red stripe off the Russian flag came up spontaneously among exiled Russians from Riga to San Francisco.
119,Mr.  Kasparov,be,no German tourism,"There was no German tourism in London in 1941 either, so Mr.  Kasparov proposed welcoming only those Russians who sign a declaration with three principles: This war is criminal; the Russian President Vladimir Putin regime is illegitimate; and Ukraine is indivisible."
120,China,do,Russian President Vladimir Putin,China is doing nothing for Russian President Vladimir Putin.
121,Kazakhstan,turn,China's back,Kazakhstan has turned China's back.
122,Russians,reconcile,the Ukrainians,"It will take years, if not decades, before we Russians can reconcile with the Ukrainians."
123,Mr.  Kasparov,have,Mr.  Kasparov,"DER SPIEGEL: After being away for so long, do Mr.  Kasparov still have a sense for normal Russians and what normal Russians actually Mr.  Kasparov: Mr.  Kasparov don't claim to have a real feel for it, but Mr.  Kasparov can analyze the available data."
124,Germany,play,Mr.  Kasparov's Mr.  Kasparov,DER SPIEGEL: What role should Germany play in Mr.  Kasparov's Mr.  Kasparov: Germany contributed greatly to Russian President Vladimir Putin's arrogance.
125,Mr.  Kasparov,have,Armenian roots,"After all, Mr.  Kasparov have Armenian roots Mr.  Kasparov and grew up in Azerbaijan, a dictatorship that just attacked Armenia."
126,Pavel Filatyev,film,Pavel Filatyev's left hand,"As Pavel Filatyev continues filming with Pavel Filatyev's left hand, Pavel Filatyev gathers the pieces of paper that once documented Pavel Filatyev's life with Pavel Filatyev's right one."
127,Pavel Filatyev's unit,station,Crimea,"It's mid-February 2022, and Pavel Filatyev's unit is stationed in Crimea."
128,Pavel Filatyev,type,Pavel Filatyev's experiences,"In May, Pavel Filatyev begins typing Pavel Filatyev's experiences into Pavel Filatyev's mobile phone."
129,Pavel Filatyev,type,Pavel Filatyev's experiences,"In May, Pavel Filatyev begins typing Pavel Filatyev's experiences into Pavel Filatyev's mobile phone."
130,Pavel Filatyev,experience,Ukraine,"Pavel Filatyev writes to oppositional bloggers and asks oppositional bloggers to publish what Pavel Filatyev experienced in Ukraine, where soldiers and civilians are dying senselessly, but few answer Pavel Filatyev."
131,Pavel Filatyev,post,Pavel Filatyev's experiences,""" In the end, Pavel Filatyev decides to post Pavel Filatyev's experiences on Pavel Filatyev's own."
132,Pavel Filatyev,upload,Pavel Filatyev's manuscript,"In early August, Pavel Filatyev uploads Pavel Filatyev's manuscript to VKontakte, Russia's largest social network."
133,Pavel Filatyev,pack,Pavel Filatyev's bag,"After that, Pavel Filatyev packs Pavel Filatyev's bag and sets off for Moscow."
134,the Russian public,happen,Ukraine,"Part of Pavel Filatyev did actually believe that the Russian public would stand up against Putin if the Russian public found out what is really happening in Ukraine, where soldiers and civilians are dying senselessly."
135,Pavel Filatyev,sit,the French sun,"It's the beginning of September, and Pavel Filatyev is sitting under the French sun, looking out at the sea."
136,Pavel Filatyev,spare,Pavel Filatyev,"Pavel Filatyev answers every question without equivocation or embellishment, nor does Pavel Filatyev spare Pavel Filatyev."
137,Pavel Filatyev's heart,to,Pavel Filatyev,But Pavel Filatyev behaved as Pavel Filatyev's heart and conscience told Pavel Filatyev to.
138,The Russians,run,Kharkiv,"But The Russians ran up against Kharkiv some 30 kilometers further to the south, the capital of the eponymously named oblast's stubborn defenders, and after bitter and bloody fighting, the Ukrainians finally managed to drive The Russians away from Kharkiv some 30 kilometers further to the south, the capital of the eponymously named oblast in early May."
139,the Ukrainian army,surprise,The Russians,"Just a few days before, the Ukrainian army had surprised The Russians with a lightning offensive                   to the east and southeast of Kharkiv some 30 kilometers further to the south, the capital of the eponymously named oblast, driving The Russians out of Balakliya, Izyum and other strategically important towns in the region."
140,Silvio Berlusconi,sit,Silvio Berlusconi,"You sit with Silvio Berlusconi, whom people say paved the way for populism in European politics for five minutes and Silvio Berlusconi, whom people say paved the way for populism in European politics’ll propose a deal."
141,Romano Prodi,lose,Romano Prodi's people,"DER SPIEGEL: Did the leftists underestimate Giorgia Meloni’s: Romano Prodi told Romano Prodi's people that if we don’t stand together, we will lose."
142,Giorgia Meloni’s's hands,tie,the European level,That means Giorgia Meloni’s's hands are tied at the European level.
143,Giorgia Meloni,position,Giorgia Meloni,"Thus far in the Ukraine war, Giorgia Meloni’s has clearly positioned Giorgia Meloni’s in line with NATO and the West."
