,paper,title,summ,authors,full_text,date,date_time,article_id,coref_text
12,bbc,Svalbard: The race to save the fastest-warming place on Earth,"Svalbard, a Norwegian archipelago, is thought to be heating at six times the global average.",not mentioned in feed,"Svalbard: The race to save the fastest-warming place on Earth. Svalbard, a Norwegian archipelago, is thought to be heating at six times the global average.",2022-10-26,2022-10-26 23:57:26,12,Svalbard: The race to save Svalbard. Svalbard is thought to be heating at six times the global average.
13,bbc,Sudan: 'No-one to intervene' for woman sentenced to stoning,A lack of government ministers in Sudan hinders attempts to prevent a woman being stoned to death.,not mentioned in feed,Sudan: 'No-one to intervene' for woman sentenced to stoning. A lack of government ministers in Sudan hinders attempts to prevent a woman being stoned to death.,2022-10-26,2022-10-26 23:16:46,13,Sudan: 'No-one to intervene' for woman sentenced to stoning. A lack of government ministers in Sudan hinders attempts to prevent a woman being stoned to death.
14,bbc,Aastha Arora: Where is India's billionth baby now?,"The BBC revisits Aastha Arora - ""the special baby"" whose birth in 2000 made global headlines.",not mentioned in feed,"Aastha Arora: Where is India's billionth baby now?. The BBC revisits Aastha Arora - ""the special baby"" whose birth in 2000 made global headlines.",2022-10-26,2022-10-26 23:58:41,14,Aastha Arora: Where is India's billionth baby now?. The BBC revisits Aastha Arora.
15,bbc,Kenya battles unsafe Chinese contraceptive pill a decade after ban,Susan Wamaitha was urged to take a Chinese-made contraceptive not knowing it was banned in Kenya.,not mentioned in feed,Kenya battles unsafe Chinese contraceptive pill a decade after ban. Susan Wamaitha was urged to take a Chinese-made contraceptive not knowing it was banned in Kenya.,2022-10-27,2022-10-27 00:02:01,15,Kenya battles unsafe Chinese contraceptive pill a decade after ban. Susan Wamaitha was urged to take a Chinese-made contraceptive not knowing a Chinese-made contraceptive was banned in Kenya.
16,bbc,Brazil election: Why are the poor voting for Lula?,Poverty is a huge election issue as many Brazilians struggle amid the cost of living crisis.,not mentioned in feed,Brazil election: Why are the poor voting for Lula?. Poverty is a huge election issue as many Brazilians struggle amid the cost of living crisis.,2022-10-26,2022-10-26 22:38:54,16,Brazil election: Why are the poor voting for Lula?. Poverty is a huge election issue as many Brazilians struggle amid the cost of living crisis.
17,bbc,Ukraine war: Russia troop deployment to Belarus prompts speculation,Russia is sending thousands more troops to Belarus. Is the country going to join the war in Ukraine?,not mentioned in feed,Ukraine war: Russia troop deployment to Belarus prompts speculation. Russia is sending thousands more troops to Belarus. Is the country going to join the war in Ukraine?,2022-10-25,2022-10-25 23:38:49,17,Ukraine war: Russia troop deployment to Belarus prompts speculation. Russia is sending thousands more troops to Belarus. Is Russia going to join the war in Ukraine?
18,bbc,Macron-Scholz: Difficult Paris summit for German chancellor,Relations between France and Germany are strained as the two countries pull in different directions.,not mentioned in feed,Macron-Scholz: Difficult Paris summit for German chancellor. Relations between France and Germany are strained as the two countries pull in different directions.,2022-10-26,2022-10-26 14:38:24,18,Macron-Scholz: Difficult Paris summit for German chancellor. Relations between France and Germany are strained as France and Germany pull in different directions.
19,bbc,North Korea tensions: Why is Kim Jong-un upping the pressure?,"As the Koreas trade warning shots, the situation on the peninsula is at its most volatile in years.",not mentioned in feed,"North Korea tensions: Why is Kim Jong-un upping the pressure?. As the Koreas trade warning shots, the situation on the peninsula is at its most volatile in years.",2022-10-25,2022-10-25 23:32:02,19,"North Korea tensions: Why is Kim Jong-un upping the pressure?. As the Koreas trade warning shots, the situation on North Korea is at the situation on the peninsula's most volatile in years."
20,bbc,Brazil election: Accusations and misinformation on the campaign trail,President Bolsonaro faces rival Lula da Silva in a second-round run-off on 30 October.,not mentioned in feed,Brazil election: Accusations and misinformation on the campaign trail. President Bolsonaro faces rival Lula da Silva in a second-round run-off on 30 October.,2022-10-25,2022-10-25 23:47:50,20,Brazil election: Accusations and misinformation on the campaign trail. President Bolsonaro faces rival Lula da Silva in a second-round run-off on 30 October.
21,bbc,Kanye West: What's next for Yeezy and trainer fans?,"With big brands including Adidas cutting ties with the rapper, Newsbeat explores what happens next.",not mentioned in feed,"Kanye West: What's next for Yeezy and trainer fans?. With big brands including Adidas cutting ties with the rapper, Newsbeat explores what happens next.",2022-10-26,2022-10-26 15:55:47,21,"Kanye West: What's next for Yeezy and trainer fans?. With big brands including Adidas cutting ties with Yeezy, Newsbeat explores what happens next."
22,bbc,Lebanon: Iraqi tourists provide unlikely boost for failing economy,"Despite power cuts, shortages and political strife, Iraqis (and their dollars) are coming to Lebanon.",not mentioned in feed,"Lebanon: Iraqi tourists provide unlikely boost for failing economy. Despite power cuts, shortages and political strife, Iraqis (and their dollars) are coming to Lebanon.",2022-10-25,2022-10-25 23:44:22,22,"Lebanon: Iraqi tourists provide unlikely boost for failing economy. Despite power cuts, shortages and political strife, Iraqis (and Iraqis's dollars) are coming to Lebanon:."
23,bbc,Iran protests: How countries are punishing the morality police,The force is accused of abusing Iranian women who it thinks do not wear the hijab properly enough.,not mentioned in feed,Iran protests: How countries are punishing the morality police. The force is accused of abusing Iranian women who it thinks do not wear the hijab properly enough.,2022-10-25,2022-10-25 23:57:18,23,Iran protests: How countries are punishing the morality police. the morality police is accused of abusing Iranian women who the morality police thinks do not wear the hijab properly enough.
24,bbc,Politics increasingly a deal-breaker on US dating scene,"With midterm elections looming, singles yearn more than ever to meet their ideological soulmate.",not mentioned in feed,"Politics increasingly a deal-breaker on US dating scene. With midterm elections looming, singles yearn more than ever to meet their ideological soulmate.",2022-10-25,2022-10-25 23:02:12,24,"Politics increasingly a deal-breaker on US dating scene. With midterm elections looming, singles yearn more than ever to meet singles's ideological soulmate."
25,bbc,Nedd Brockmann: The man who ran across Australia in 47 days,"Nedd Brockmann ran 3,953 km (2,456 miles), inspired a nation and raised millions for charity.",not mentioned in feed,"Nedd Brockmann: The man who ran across Australia in 47 days. Nedd Brockmann ran 3,953 km (2,456 miles), inspired a nation and raised millions for charity.",2022-10-25,2022-10-25 17:00:29,25,"Nedd Brockmann: The man who ran across Australia in 47 days. Nedd Brockmann: The man who ran across Australia in 47 days. ran 3,953 km (2,456 miles), inspired a nation and raised millions for charity."
26,bbc,Hundreds rescued from Indonesia boat fire,At least 14 were killed when the top deck off the vessel caught fire after leaving Kupang.,not mentioned in feed,Hundreds rescued from Indonesia boat fire. At least 14 were killed when the top deck off the vessel caught fire after leaving Kupang.,2022-10-25,2022-10-25 10:07:47,26,Hundreds rescued from Indonesia boat fire. At least 14 were killed when the top deck off the vessel caught fire after leaving Kupang.
27,bbc,Sunak's rise to PM a 'ground-breaking milestone' - Biden,"US President Joe Biden says it ""matters"" that the UK will have its first British Asian prime minister.",not mentioned in feed,"Sunak's rise to PM a 'ground-breaking milestone' - Biden. US President Joe Biden says it ""matters"" that the UK will have its first British Asian prime minister.",2022-10-25,2022-10-25 00:33:01,27,"Sunak's rise to PM a 'ground-breaking milestone' - Biden. US President Joe Biden says it ""matters"" that the UK will have the UK's first British Asian prime minister."
28,bbc,Korean Air crash: Plane overruns runway in bad weather,A Korean Air plane overran on the runway while landing at Mactan-Cebu International Airport in the Philippines.,not mentioned in feed,Korean Air crash: Plane overruns runway in bad weather. A Korean Air plane overran on the runway while landing at Mactan-Cebu International Airport in the Philippines.,2022-10-24,2022-10-24 09:03:47,28,Korean Air crash: Plane overruns runway in bad weather. Plane overran on the runway while landing at Mactan-Cebu International Airport in the Philippines.
29,bbc,China congress: What do people say about China's new leadership team?,"It's considered sensitive to talk about China's party leaders in public, but not impossible.",not mentioned in feed,"China congress: What do people say about China's new leadership team?. It's considered sensitive to talk about China's party leaders in public, but not impossible.",2022-10-23,2022-10-23 14:47:20,29,"China congress: What do people say about China's new leadership team?. It's considered sensitive to talk about China's's party leaders in public, but not impossible."
30,bbc,China's leader Xi Jinping introduces his new top team,"China's leader Xi Jinping has been re-elected for a third straight term, in a break with precedent.",not mentioned in feed,"China's leader Xi Jinping introduces his new top team. China's leader Xi Jinping has been re-elected for a third straight term, in a break with precedent.",2022-10-23,2022-10-23 04:53:05,30,"China's leader Xi Jinping introduces China's leader Xi Jinping's new top team. China's's leader Xi Jinping has been re-elected for a third straight term, in a break with precedent."
31,spiegel,Epidemiologist Jeremy Farrar on the Next Viral Threat: “I Fear We Are at the Beginning of an Era of Pandemics”,"In an interview, infectious diseases expert Sir Jeremy Farrar discusses recent mutations of the coronavirus and his worries about future pandemics. He says COVID is here to stay and that we haven't reached a ""stable phase yet"" that would allow us to let down our guard.",not mentioned in feed,"Epidemiologist Jeremy Farrar on the Next Viral Threat: “I Fear We Are at the Beginning of an Era of Pandemics”. In an interview, infectious diseases expert Sir Jeremy Farrar discusses recent mutations of the coronavirus and his worries about future pandemics. He says COVID is here to stay and that we haven't reached a ""stable phase yet"" that would allow us to let down our guard.",2022-10-26,2022-10-26 13:48:14,31,"Epidemiologist Jeremy Farrar on the Next Viral Threat: “infectious diseases expert Sir Jeremy Farrar Fear We Are at the Beginning of an Era of Pandemics”. In an interview, infectious diseases expert Sir Jeremy Farrar discusses recent mutations of the coronavirus and infectious diseases expert Sir Jeremy Farrar's worries about future pandemics. infectious diseases expert Sir Jeremy Farrar says the coronavirus is here to stay and that we haven't reached a ""stable phase yet"" that would allow us to let down our guard."
32,spiegel,The Long Arm of the Mullahs: Hamburg Mosque Reportedly a Hotbed for Iranian Propaganda,"The Hamburg Islamic Center is considered the most important outpost of the Iranian regime in Germany. But since it is also reportedly used to spread the mullahs’ propaganda across Europe, calls are growing for its work to be restricted.",not mentioned in feed,"The Long Arm of the Mullahs: Hamburg Mosque Reportedly a Hotbed for Iranian Propaganda. The Hamburg Islamic Center is considered the most important outpost of the Iranian regime in Germany. But since it is also reportedly used to spread the mullahs’ propaganda across Europe, calls are growing for its work to be restricted.",2022-10-25,2022-10-25 13:39:47,32,"The Long Arm of the Mullahs: Hamburg Mosque Reportedly a Hotbed for Iranian Propaganda. The Hamburg Islamic Center is considered the most important outpost of the Iranian regime in Germany. But since Hamburg Mosque is also reportedly used to spread the Mullahs's propaganda across Europe, calls are growing for Hamburg Mosque's work to be restricted."
33,spiegel,Protests in Iran: The Regime’s Trail of Blood,"For over a month, people in Iran have been protesting against the Islamist regime. Data shows how protests have sprung up around the country and where the government has unleashed the most brutality against the demonstrators.",not mentioned in feed,"Protests in Iran: The Regime’s Trail of Blood. For over a month, people in Iran have been protesting against the Islamist regime. Data shows how protests have sprung up around the country and where the government has unleashed the most brutality against the demonstrators.",2022-10-24,2022-10-24 11:08:30,33,"Protests in Iran: The Regime’s Trail of Blood. For over a month, people in Iran have been protesting against The Regime’s. Data shows how protests have sprung up around Iran and where The Regime’s has unleashed the most brutality against people in Iran."
34,spiegel,The Women of Iran Have Had Enough: Anatomy of an Uprising,"The death of university student Jina Mahsa Amini has triggered a wave of protests across Iran. For the last five weeks, the women of the country have been leading the way, but people from all walks of life have joined them. Are they the force that could bring down the regime?",not mentioned in feed,"The Women of Iran Have Had Enough: Anatomy of an Uprising. The death of university student Jina Mahsa Amini has triggered a wave of protests across Iran. For the last five weeks, the women of the country have been leading the way, but people from all walks of life have joined them. Are they the force that could bring down the regime?",2022-10-21,2022-10-21 19:11:18,34,"The Women of Iran Have Had Enough: Anatomy of an Uprising. The death of university student Jina Mahsa Amini has triggered a wave of protests across Iran. For the last five weeks, the women of Iran have been leading the way, but people from all walks of life have joined The Women of Iran. Are they the force that could bring down the regime?"
35,spiegel,"The Omnipotence of China's Xi Jinping: ""Chairman of Everything""","He has transformed his country into a surveillance state, isolated it from the rest of the world during the pandemic and expanded his foreign policy. Now, China's Xi Jinping is set to become ruler for life. Why is he so beloved by his people?",not mentioned in feed,"The Omnipotence of China's Xi Jinping: ""Chairman of Everything"". He has transformed his country into a surveillance state, isolated it from the rest of the world during the pandemic and expanded his foreign policy. Now, China's Xi Jinping is set to become ruler for life. Why is he so beloved by his people?",2022-10-20,2022-10-20 11:41:50,35,"The Omnipotence of China's Xi Jinping: ""Chairman of Everything"". China's Xi Jinping: ""Chairman of Everything"" has transformed China's Xi Jinping: ""Chairman of Everything""'s country into a surveillance state, isolated China's from the rest of the world during the pandemic and expanded China's Xi Jinping: ""Chairman of Everything""'s foreign policy. Now, China's's Xi Jinping is set to become ruler for life. Why is China's Xi Jinping: ""Chairman of Everything"" so beloved by China's Xi Jinping: ""Chairman of Everything""'s people?"
36,spiegel,"Giuseppe Conte: ""If Meloni Pursues Reactionary Positions, We Will Have to Mobilize All Our Powers""","After the election victory of Giorgia Meloni in Italy, the head of the Five Star Movement, Giuseppe Conte, is concerned that she will lead Italy to the right-wing fringe. In an interview, he talks about what lies ahead for his country.",not mentioned in feed,"Giuseppe Conte: ""If Meloni Pursues Reactionary Positions, We Will Have to Mobilize All Our Powers"". After the election victory of Giorgia Meloni in Italy, the head of the Five Star Movement, Giuseppe Conte, is concerned that she will lead Italy to the right-wing fringe. In an interview, he talks about what lies ahead for his country.",2022-10-17,2022-10-17 15:40:00,36,"Giuseppe Conte: ""If Meloni Pursues Reactionary Positions, the Five Star Movement Will Have to Mobilize All the Five Star Movement's Powers"". After the election victory of Meloni in Italy, the head of the Five Star Movement, Giuseppe Conte, is concerned that Meloni will lead Italy to the right-wing fringe. In an interview, Giuseppe Conte talks about what lies ahead for Giuseppe Conte's country."
37,spiegel,The Courageous Women of Iran: A Lesson for the World,Nobody knows how the protests in Iran against the mullah regime will end. But the women of Iran have already accomplished more than they ever could have hoped for. And that deserves our respect.,not mentioned in feed,The Courageous Women of Iran: A Lesson for the World. Nobody knows how the protests in Iran against the mullah regime will end. But the women of Iran have already accomplished more than they ever could have hoped for. And that deserves our respect.,2022-10-14,2022-10-14 16:05:05,37,The Courageous Women of Iran: A Lesson for the World. Nobody knows how the protests in Iran against the mullah regime will end. But the women of Iran have already accomplished more than The Courageous Women of Iran ever could have hoped for. And that deserves our respect.
38,spiegel,Unrest in Iran Sends Waves of Uncertainty Across the Region,"With each victim in Iran, the question as to how the West should react becomes more pressing. Experts are skeptical that the end is nigh for the regime in Tehran – and the country's nuclear ambitions remain a concern.",not mentioned in feed,"Unrest in Iran Sends Waves of Uncertainty Across the Region. With each victim in Iran, the question as to how the West should react becomes more pressing. Experts are skeptical that the end is nigh for the regime in Tehran – and the country's nuclear ambitions remain a concern.",2022-10-14,2022-10-14 15:50:26,38,"Unrest in Iran Sends Waves of Uncertainty Across the Region. With each victim in Iran, the question as to how the West should react becomes more pressing. Experts are skeptical that the end is nigh for the regime in Tehran – and the regime in Tehran's nuclear ambitions remain a concern."
39,spiegel,Björn Höcke: The True Leader of Germany's Right Wing AfD,"For years, Germany's far-right AfD party has seen multiple power struggles as the extremist wing under Björn Höcke sought to seize control. Though he's not part of the leadership duo, Höcke has now reached his goal.",not mentioned in feed,"Björn Höcke: The True Leader of Germany's Right Wing AfD. For years, Germany's far-right AfD party has seen multiple power struggles as the extremist wing under Björn Höcke sought to seize control. Though he's not part of the leadership duo, Höcke has now reached his goal.",2022-10-14,2022-10-14 08:16:35,39,"Björn Höcke: The True Leader of Germany's Right Wing AfD. For years, Germany's's far-right AfD party has seen multiple power struggles as the extremist wing under Björn Höcke sought to seize control. Though Björn Höcke's not part of the leadership duo, Björn Höcke has now reached Björn Höcke's goal."
40,spiegel,"Hans Niemann Mentor Maxim Dlugy: ""What Magnus Carlsen Did Is Absolutely Ridiculous""","Magnus Carlsen accused Hans Niemann of cheating and also went after his mentor. In an interview with DER SPIEGEL, the latter, Maxim Dlugy, speaks of those accusations for the first time and discusses whether he will take legal action.",not mentioned in feed,"Hans Niemann Mentor Maxim Dlugy: ""What Magnus Carlsen Did Is Absolutely Ridiculous"". Magnus Carlsen accused Hans Niemann of cheating and also went after his mentor. In an interview with DER SPIEGEL, the latter, Maxim Dlugy, speaks of those accusations for the first time and discusses whether he will take legal action.",2022-10-13,2022-10-13 10:21:15,40,"Hans Niemann Mentor Maxim Dlugy: ""What Magnus Carlsen Did Is Absolutely Ridiculous"". Magnus Carlsen accused Hans Niemann Mentor Maxim Dlugy of cheating and also went after Magnus Carlsen's mentor. In an interview with DER SPIEGEL, Hans Niemann Mentor Maxim Dlugy, speaks of those accusations for the first time and discusses whether Hans Niemann Mentor Maxim Dlugy will take legal action."
41,spiegel,Why DER SPIEGEL Is Publishing the EU Investigative Report on Pushbacks,"The EU border agency Frontex has sought to cover up human rights violations for several years, but an investigation by the European anti-fraud office OLAF has exposed the treatment of refugees at Europe's frontiers. DER SPIEGEL is publishing the report in its entirety.",not mentioned in feed,"Why DER SPIEGEL Is Publishing the EU Investigative Report on Pushbacks. The EU border agency Frontex has sought to cover up human rights violations for several years, but an investigation by the European anti-fraud office OLAF has exposed the treatment of refugees at Europe's frontiers. DER SPIEGEL is publishing the report in its entirety.",2022-10-13,2022-10-13 09:00:16,41,"Why DER SPIEGEL Is Publishing the EU Investigative Report on Pushbacks. The EU border agency Frontex has sought to cover up human rights violations for several years, but an investigation by the European anti-fraud office OLAF has exposed the treatment of refugees at Europe's frontiers. DER SPIEGEL is publishing the EU Investigative Report on Pushbacks in the EU Investigative Report on Pushbacks's entirety."
42,spiegel,Money for Rebels: Tracking Down Blood Gold in the Democratic Republic of Congo,A group of rebels controls the mines in the east of the Democratic Republic of Congo and uses the money to finance killings. The gold often ends up in Europe illegally. DER SPIEGEL is one of the first media outlets to document what is happening on site in the country.,not mentioned in feed,Money for Rebels: Tracking Down Blood Gold in the Democratic Republic of Congo. A group of rebels controls the mines in the east of the Democratic Republic of Congo and uses the money to finance killings. The gold often ends up in Europe illegally. DER SPIEGEL is one of the first media outlets to document what is happening on site in the country.,2022-10-12,2022-10-12 08:37:16,42,Money for Rebels: Tracking Down Blood Gold in the Democratic Republic of Congo. A group of rebels controls the mines in the east of the Democratic Republic of Congo and uses Blood Gold in the Democratic Republic of Congo to finance killings. Blood Gold in the Democratic Republic of Congo often ends up in Europe illegally. DER SPIEGEL is one of the first media outlets to document what is happening on site in the Democratic Republic of Congo.
43,spiegel,The Divided Village: Mistrust Abounds among the Liberated Residents of Ukrainian Village,"For six months, the village of Vyshneva, population 503, was occupied by Russian troops. Initially, there was resistance, but it gave way to collaboration and treason. Now liberated, the village is marked by deep distrust.",not mentioned in feed,"The Divided Village: Mistrust Abounds among the Liberated Residents of Ukrainian Village. For six months, the village of Vyshneva, population 503, was occupied by Russian troops. Initially, there was resistance, but it gave way to collaboration and treason. Now liberated, the village is marked by deep distrust.",2022-10-10,2022-10-10 08:14:06,43,"The Divided Village: Mistrust Abounds among the Liberated Residents of The Divided Village. For six months, The Divided Village, was occupied by Russian troops. Initially, there was resistance, but resistance gave way to collaboration and treason. Now liberated, The Divided Village is marked by deep distrust."
44,spiegel,Germany and US Play Out Scenarios of a Nuclear Strike By Russia,"The bleaker things look on the battlefield in Ukraine, the more often Russia talks about nuclear bombs. Western governments still think it’s a bluff, but they are nonetheless examining possible scenarios.",not mentioned in feed,"Germany and US Play Out Scenarios of a Nuclear Strike By Russia. The bleaker things look on the battlefield in Ukraine, the more often Russia talks about nuclear bombs. Western governments still think it’s a bluff, but they are nonetheless examining possible scenarios.",2022-10-07,2022-10-07 16:12:46,44,"Germany and US Play Out Scenarios of a Nuclear Strike By Russia. The bleaker things look on the battlefield in Ukraine, the more often Russia talks about nuclear bombs. Western governments still think it’s a bluff, but Western governments are nonetheless examining possible scenarios."
45,spiegel,"Garry Kasparov on the War in Ukraine: ""Everyone Who Is Still in Russia Is Part of This War Machine""","Former world chess champion Garry Kasparov believes that the regime of Russian President Vladimir Putin will collapse in spring. In an interview, talks about how dangerous Moscow continues to be and what lies ahead for a defeated Russia.",not mentioned in feed,"Garry Kasparov on the War in Ukraine: ""Everyone Who Is Still in Russia Is Part of This War Machine"". Former world chess champion Garry Kasparov believes that the regime of Russian President Vladimir Putin will collapse in spring. In an interview, talks about how dangerous Moscow continues to be and what lies ahead for a defeated Russia.",2022-10-06,2022-10-06 17:36:03,45,"Garry Kasparov on the War in Ukraine: ""Everyone Who Is Still in Russia Is Part of the War in Ukraine"". Garry Kasparov believes that the regime of Russian President Vladimir Putin will collapse in spring. In an interview, talks about how dangerous Moscow continues to be and what lies ahead for Russia."
46,spiegel,Pavel Filatyev: A Russian Soldier Speaks Out about the War in Ukraine,"Pavel Filatyev took part in the invasion of Ukraine. The war shocked him so badly that he risked imprisonment to write an exposé about the moral problems he sees in Russia's military action. The soldier has since fled to France, where he has applied for asylum and is now sharing his story.",not mentioned in feed,"Pavel Filatyev: A Russian Soldier Speaks Out about the War in Ukraine. Pavel Filatyev took part in the invasion of Ukraine. The war shocked him so badly that he risked imprisonment to write an exposé about the moral problems he sees in Russia's military action. The soldier has since fled to France, where he has applied for asylum and is now sharing his story.",2022-10-05,2022-10-05 14:56:27,46,"Pavel Filatyev: A Russian Soldier Speaks Out about the War in Ukraine. Pavel Filatyev: A Russian Soldier took part in the invasion of Ukraine. the War in Ukraine shocked Pavel Filatyev: A Russian Soldier so badly that Pavel Filatyev: A Russian Soldier risked imprisonment to write an exposé about the moral problems Pavel Filatyev: A Russian Soldier sees in Russia's military action. Pavel Filatyev: A Russian Soldier has since fled to France, where Pavel Filatyev: A Russian Soldier has applied for asylum and is now sharing Pavel Filatyev: A Russian Soldier's story."
47,spiegel,Right at Home: A Visit to an Abandoned Russian Bulwark Near Kharkiv,"The recapture of Lyman was preceded by a Ukrainian offensive in Kharkiv. Apparently fearing a robust advance by the Ukrainians, the Russians abandoned well-constructed defensive strongholds. A visit.",not mentioned in feed,"Right at Home: A Visit to an Abandoned Russian Bulwark Near Kharkiv. The recapture of Lyman was preceded by a Ukrainian offensive in Kharkiv. Apparently fearing a robust advance by the Ukrainians, the Russians abandoned well-constructed defensive strongholds. A visit.",2022-10-05,2022-10-05 14:04:00,47,"Right at Home: A Visit to an Abandoned Russian Bulwark Near Kharkiv. The recapture of Lyman was preceded by a Ukrainian offensive in Kharkiv. Apparently fearing a robust advance by the Ukrainians, the Russians abandoned well-constructed defensive strongholds. A visit."
