,text,triplets,rel_count,err,new_text,new_triplets,tex
12,President Reagan and Egyptian President Hosni Mubarak agreed today there was an urgent need for progress towards a Middle East settlement and that a freeze on Israeli settlements in occupied territories was also needed.,<triplet> President Reagan <subj> Egyptian President Hosni Mubarak <obj> Make Public Statement <triplet> Egyptian President Hosni Mubarak <subj> President Reagan <obj> Make Public Statement,2,False,President Reagan and Egyptian President Hosni Mubarak agreed today there was an urgent need for progress towards a Middle East settlement and that a freeze on Israeli settlements in occupied territories was also needed.,<triplet> President Reagan <subj> Egyptian President Hosni Mubarak <obj> Make Public Statement <triplet> Egyptian President Hosni Mubarak <subj> President Reagan <obj> Make Public Statement,President Reagan and Egyptian President Hosni Mubarak agreed today there was an urgent need for progress towards a Middle East settlement and that a freeze on Israeli settlements in occupied territories was also needed.
13,"Kenyan President Daniel Arap Moi on Monday urged Uganda to to repatriate “all Kenyan criminals hiding there” to face trial, accusing them of killing Kenyan policemen in cross-border raids recently",<triplet> Kenyan President Daniel Arap Moi <subj> Uganda <obj> Appeal <triplet> all Kenyan criminals <subj> Kenyan policemen <obj> Assault <triplet> Kenyan President Daniel Arap Moi <subj> all Kenyan criminals <obj> Disapprove,3,False,"Kenyan President Daniel Arap Moi on Monday urged Uganda to to repatri_x0002_ate “all Kenyan criminals hiding there” to face trial, accusing them of killing Kenyan policemen in cross-border raids recently",<triplet> Kenyan President Daniel Arap Moi <subj> Uganda <obj> Appeal <triplet> all Kenyan criminals <subj> Kenyan policemen <obj> Assault <triplet> Kenyan President Daniel Arap Moi <subj> all Kenyan criminals <obj> Disapprove,"Kenyan President Daniel Arap Moi on Monday urged Uganda to to repatriate “all Kenyan criminals hiding there” to face trial, accusing them of killing Kenyan policemen in cross-border raids recently"
14,"Outspoken Serbian ultra-nationalist leader Vojislav Seselj called on Arab countries to join forces against a possible US-led attack on Iraq, Tanjug news agency reported Wednesday.",<triplet> Tanjug news agency <subj> Outspoken Serbian ultra-nationalist leader Vojislav Seselj <obj> Make Public Statement <triplet> Tanjug news agency <subj> Arab countries <obj> Make Public Statement <triplet> Tanjug news agency <subj> a possible US-led attack <obj> Make Public Statement <triplet> Outspoken Serbian ultra-nationalist leader Vojislav Seselj <subj> Arab countries <obj> Appeal <triplet> Outspoken Serbian ultra-nationalist leader Vojislav Seselj <subj> a possible US-led attack <obj> Disapprove <triplet> a possible US-led attack <subj> Iraq <obj> Fight,6,False,"Outspoken Serbian ultra-nationalist leader Vojislav Seselj called on Arab countries to join forces against a possible US-led attack on Iraq, Tanjug news agency reported Wednesday.",<triplet> Tanjug news agency <subj> Outspoken Serbian ultra-nationalist leader Vojislav Seselj <obj> Make Public Statement <triplet> Tanjug news agency <subj> Arab countries <obj> Make Public Statement <triplet> Tanjug news agency <subj> a possible US-led attack <obj> Make Public Statement <triplet> Outspoken Serbian ultra-nationalist leader Vojislav Seselj <subj> Arab countries <obj> Appeal <triplet> Outspoken Serbian ultra-nationalist leader Vojislav Seselj <subj> a possible US-led attack <obj> Disapprove <triplet> a possible US-led attack <subj> Iraq <obj> Fight,"Outspoken Serbian ultra-nationalist leader Vojislav Seselj called on Arab countries to join forces against a possible US-led attack on Iraq, Tanjug news agency reported Wednesday."
15,Indian business leaders Friday called for greater impetus towards free trade despite mounting tensions between India and Pakistan.,<triplet> Indian business leaders <subj> India <obj> Appeal <triplet> Indian business leaders <subj> Pakistan <obj> Appeal,2,False,Indian business leaders Friday called for greater impetus towards free trade despite mounting tensions between India and Pakistan.,<triplet> Indian business leaders <subj> India <obj> Appeal <triplet> Indian business leaders <subj> Pakistan <obj> Appeal,Indian business leaders Friday called for greater impetus towards free trade despite mounting tensions between India and Pakistan.
16,"South Korea has requested to lease a Russian military training ground, military officers in Seoul said on Thursday",<triplet> military officers in Seoul <subj> South Korea <obj> Make Public Statement <triplet> military officers in Seoul <subj> a Russian military training ground <obj> Make Public Statement <triplet> South Korea <subj> a Russian military training ground <obj> Appeal,3,False,"South Korea has requested to lease a Russian military training ground, mil_x0002_itary officers in Seoul said on Thursday",<triplet> military officers in Seoul <subj> South Korea <obj> Make Public Statement <triplet> military officers in Seoul <subj> a Russian military training ground <obj> Make Public Statement <triplet> South Korea <subj> a Russian military training ground <obj> Appeal,"South Korea has requested to lease a Russian military training ground, military officers in Seoul said on Thursday"
17,Turkey said Monday it had asked Tehran and Damascus to provide urgent information about arms and ammunition seized last week in southeastern Turkey aboard six trucks travelling from Iran to Syria.,<triplet> Turkey <subj> Tehran <obj> Appeal <triplet> Turkey <subj> Damascus <obj> Appeal <triplet> Turkey <subj> six trucks travelling from Iran to Syria <obj> Coerce,3,False,Turkey said Monday it had asked Tehran and Damascus to provide urgent information about arms and ammunition seized last week in southeastern Turkey aboard six trucks travelling from Iran to Syria.,<triplet> Turkey <subj> Tehran <obj> Appeal <triplet> Turkey <subj> Damascus <obj> Appeal <triplet> Turkey <subj> six trucks travelling from Iran to Syria <obj> Coerce,Turkey said Monday it had asked Tehran and Damascus to provide urgent information about arms and ammunition seized last week in southeastern Turkey aboard six trucks travelling from Iran to Syria.
18,North Korean state media have called on the United States to forge “ties of confidence” with Pyongyang ahead of six-party nuclear talks expected to be held in Beijing on July 26.,<triplet> North Korean state media <subj> the United States <obj> Appeal,1,False,North Korean state media have called on the United States to forge “ties of confidence” with Pyongyang ahead of six-party nuclear talks expected to be held in Beijing on July 26.,<triplet> North Korean state media <subj> the United States <obj> Appeal,North Korean state media have called on the United States to forge “ties of confidence” with Pyongyang ahead of six-party nuclear talks expected to be held in Beijing on July 26.
19,"Charles Taylor called on Liberians to stand by him during these difficult days, “Soon this bad wind shall pass,” he moaned.",<triplet> Charles Taylor <subj> Liberians <obj> Appeal,1,False,"Charles Taylor called on Liberians to stand by him during these difficult days, “Soon this bad wind shall pass,” he moaned.",<triplet> Charles Taylor <subj> Liberians <obj> Appeal,"Charles Taylor called on Liberians to stand by him during these difficult days, “Soon this bad wind shall pass,” he moaned."
20,"Lebanese President Amin Gemayel has asked President Reagan for full United States support for Lebanon’s cause, the White House said today",<triplet> the White House <subj> Lebanese President Amin Gemayel <obj> Make Public Statement <triplet> the White House <subj> President Reagan <obj> Make Public Statement <triplet> Lebanese President Amin Gemayel <subj> President Reagan <obj> Appeal,3,False,"Lebanese President Amin Gemayel has asked President Reagan for full United States support for Lebanon’s cause, the White House said today",<triplet> the White House <subj> Lebanese President Amin Gemayel <obj> Make Public Statement <triplet> the White House <subj> President Reagan <obj> Make Public Statement <triplet> Lebanese President Amin Gemayel <subj> President Reagan <obj> Appeal,"Lebanese President Amin Gemayel has asked President Reagan for full United States support for Lebanon’s cause, the White House said today"
21,"Romania has asked the European Community for immediate delivery of additional aid, EC sources said on Thursday.",<triplet> Romania <subj> the European Community <obj> Appeal <triplet> EC sources <subj> Romania <obj> Make Public Statement <triplet> EC sources <subj> the European Community <obj> Make Public Statement,3,False,"Romania has asked the European Community for immediate delivery of ad_x0002_ditional aid, EC sources said on Thursday.",<triplet> Romania <subj> the European Community <obj> Appeal <triplet> EC sources <subj> Romania <obj> Make Public Statement <triplet> EC sources <subj> the European Community <obj> Make Public Statement,"Romania has asked the European Community for immediate delivery of additional aid, EC sources said on Thursday."
22,Russia and China will ask Asian banks to help finance construction of an $8 billion Trans-Siberian natural gas link to China.,<triplet> Russia <subj> Asian banks <obj> Appeal <triplet> China <subj> Asian banks <obj> Appeal,2,False,Russia and China will ask Asian banks to help finance construction of an $8 billion Trans-Siberian natural gas link to China.,<triplet> Russia <subj> Asian banks <obj> Appeal <triplet> China <subj> Asian banks <obj> Appeal,Russia and China will ask Asian banks to help finance construction of an $8 billion Trans-Siberian natural gas link to China.
23,"Angola has asked Portugal for military aid, especially instructors for its Soviet- and Cuban-trained armed forces, a Lisbon newspaper said today.",<triplet> Angola <subj> Portugal <obj> Appeal <triplet> a Lisbon newspaper <subj> Angola <obj> Make Public Statement <triplet> a Lisbon newspaper <subj> Portugal <obj> Make Public Statement,3,False,"Angola has asked Portugal for military aid, especially instructors for its Soviet- and Cuban-trained armed forces, a Lisbon newspaper said today.",<triplet> Angola <subj> Portugal <obj> Appeal <triplet> a Lisbon newspaper <subj> Angola <obj> Make Public Statement <triplet> a Lisbon newspaper <subj> Portugal <obj> Make Public Statement,"Angola has asked Portugal for military aid, especially instructors for its Soviet- and Cuban-trained armed forces, a Lisbon newspaper said today."
24,Oxfam Canada today called on the world community to help save tens of thousands of Afghan civilians threatened with starvation.,<triplet> Oxfam Canada <subj> the world community <obj> Appeal <triplet> Oxfam Canada <subj> tens of thousands of Afghan civilians <obj> Express Intent to Cooperate,2,False,Oxfam Canada today called on the world community to help save tens of thousands of Afghan civilians threatened with starvation.,<triplet> Oxfam Canada <subj> the world community <obj> Appeal <triplet> Oxfam Canada <subj> tens of thousands of Afghan civilians <obj> Express Intent to Cooperate,Oxfam Canada today called on the world community to help save tens of thousands of Afghan civilians threatened with starvation.
25,A group of prominent Liberians have written to President George Bush urging him to send U.S. peacekeeping troops to their capital Monrovia.,<triplet> A group of prominent Liberians <subj> President George Bush <obj> Appeal,1,False,A group of prominent Liberians have written to President George Bush urging him to send U.S. peacekeeping troops to their capital Monrovia.,<triplet> A group of prominent Liberians <subj> President George Bush <obj> Appeal,A group of prominent Liberians have written to President George Bush urging him to send U.S. peacekeeping troops to their capital Monrovia.
26,"About 300 representatives from Egyptian civil society organizations submitted the most recent in a series of reform petitions, under the title “In Defense of the Nation” to the Saudi royal family.",<triplet> About 300 representatives from Egyptian civil society organizations <subj> the Saudi royal family <obj> Appeal,1,False,"About 300 representatives from Egyptian civil society organizations submit_x0002_ted the most recent in a series of reform petitions, under the title “In Defense of the Nation” to the Saudi royal family.",<triplet> About 300 representatives from Egyptian civil society organizations <subj> the Saudi royal family <obj> Appeal,"About 300 representatives from Egyptian civil society organizations submitted the most recent in a series of reform petitions, under the title “In Defense of the Nation” to the Saudi royal family."
27,European ministers had called for Burma to institute reforms before joining the ASEAN.,<triplet> European ministers <subj> Burma <obj> Appeal <triplet> Burma <subj> the ASEAN <obj> Express Intent to Cooperate,2,False,European ministers had called for Burma to institute reforms before joining the ASEAN.,<triplet> European ministers <subj> Burma <obj> Appeal <triplet> Burma <subj> the ASEAN <obj> Express Intent to Cooperate,European ministers had called for Burma to institute reforms before joining the ASEAN.
28,Members of parliament from Kenya’s Liberal Democratic Party called on Energy Minister Kiraitu Murungi to resign in the wake of new evidence over the $7 billion scandals.,<triplet> Members of parliament from Kenya’s Liberal Democratic Party <subj> Energy Minister Kiraitu Murungi <obj> Appeal,1,False,Members of parliament from Kenya’s Liberal Democratic Party called on Energy Minister Kiraitu Murungi to resign in the wake of new evidence over the $7 billion scandals.,<triplet> Members of parliament from Kenya’s Liberal Democratic Party <subj> Energy Minister Kiraitu Murungi <obj> Appeal,Members of parliament from Kenya’s Liberal Democratic Party called on Energy Minister Kiraitu Murungi to resign in the wake of new evidence over the $7 billion scandals.
29,The UN Security Council has called on Haiti’s interim government to hold elections by 7 February.,<triplet> The UN Security Council <subj> Haiti’s interim government <obj> Appeal,1,False,The UN Security Council has called on Haiti’s interim government to hold elections by 7 February.,<triplet> The UN Security Council <subj> Haiti’s interim government <obj> Appeal,The UN Security Council has called on Haiti’s interim government to hold elections by 7 February.
30,U.S. President George W. Bush said Friday that he will tell Japanese Prime Minister Junichiro Koizumi that Japan needs to enact significant economic reforms.,<triplet> U.S. President George W. Bush <subj> Japanese Prime Minister Junichiro Koizumi <obj> Appeal <triplet> U.S. President George W. Bush <subj> Japan <obj> Appeal,2,False,U.S. President George W. Bush said Friday that he will tell Japanese Prime Minister Junichiro Koizumi that Japan needs to enact significant economic reforms.,<triplet> U.S. President George W. Bush <subj> Japanese Prime Minister Junichiro Koizumi <obj> Appeal <triplet> U.S. President George W. Bush <subj> Japan <obj> Appeal,U.S. President George W. Bush said Friday that he will tell Japanese Prime Minister Junichiro Koizumi that Japan needs to enact significant economic reforms.
31,"Carl Bildt called for three urgent reforms in Swedish politics—tax reform, business reform and welfare reform—and stressed the creation of new jobs as the principal task for the future.",<triplet> Carl Bildt <subj> three urgent reforms in Swedish politics <obj> Appeal,1,False,"Carl Bildt called for three urgent reforms in Swedish politics—tax reform, business reform and welfare reform—and stressed the creation of new jobs as the principal task for the future.",<triplet> Carl Bildt <subj> three urgent reforms in Swedish politics <obj> Appeal,"Carl Bildt called for three urgent reforms in Swedish politics—tax reform, business reform and welfare reform—and stressed the creation of new jobs as the principal task for the future."
32,"The UN urged the Maoists rebels in Nepal to honor human rights, according to the UN High Commissioner for Human Rights (UNHCR).",<triplet> The UN <subj> Maoists rebels in Nepal <obj> Appeal <triplet> the UN High Commissioner for Human Rights (UNHCR) <subj> The UN <obj> Make Public Statement <triplet> the UN High Commissioner for Human Rights (UNHCR) <subj> Maoists rebels in Nepal <obj> Make Public Statement,3,False,"The UN urged the Maoists rebels in Nepal to honor human rights, according to the UN High Commissioner for Human Rights (UNHCR).",<triplet> The UN <subj> Maoists rebels in Nepal <obj> Appeal <triplet> the UN High Commissioner for Human Rights (UNHCR) <subj> The UN <obj> Make Public Statement <triplet> the UN High Commissioner for Human Rights (UNHCR) <subj> Maoists rebels in Nepal <obj> Make Public Statement,"The UN urged the Maoists rebels in Nepal to honor human rights, according to the UN High Commissioner for Human Rights (UNHCR)."
33,The international committee of the Lebanese Living Abroad movement is contacting a number of Lebanese legislatures to propose a new addendum incorporating the right to vote abroad into the electoral law adopted for the upcoming parliamentary elections.,<triplet> The international committee of the Lebanese Living Abroad movement <subj> a number of Lebanese legislatures <obj> Appeal,1,False,The international committee of the Lebanese Living Abroad movement is contacting a number of Lebanese legislatures to propose a new addendum incorporating the right to vote abroad into the electoral law adopted for the upcoming parliamentary elections.,<triplet> The international committee of the Lebanese Living Abroad movement <subj> a number of Lebanese legislatures <obj> Appeal,The international committee of the Lebanese Living Abroad movement is contacting a number of Lebanese legislatures to propose a new addendum incorporating the right to vote abroad into the electoral law adopted for the upcoming parliamentary elections.
34,President Emile Lahoud has pushed the Lebanese Parliament for a new election law two days before he is to call parliamentary elections.,<triplet> President Emile Lahoud <subj> the Lebanese Parliament <obj> Appeal,1,False,President Emile Lahoud has pushed the Lebanese Parliament for a new elec_x0002_tion law two days before he is to call parliamentary elections.,<triplet> President Emile Lahoud <subj> the Lebanese Parliament <obj> Appeal,President Emile Lahoud has pushed the Lebanese Parliament for a new election law two days before he is to call parliamentary elections.
35,Scandal-plagued President Gloria Macapagal Arroyo on Monday urged Congress in the Philippines to change the constitution to shift to a parliamentary form of government to ease the country’s constant political instability.,<triplet> Scandal-plagued President Gloria Macapagal Arroyo <subj> Congress in the Philippines <obj> Appeal <triplet> Scandal-plagued President Gloria Macapagal Arroyo <subj> the country’s constant political instability <obj> Make Public Statement,2,False,Scandal-plagued President Gloria Macapagal Arroyo on Monday urged Congress in the Philippines to change the constitution to shift to a par_x0002_liamentary form of government to ease the country’s constant political in_x0002_stability.,<triplet> Scandal-plagued President Gloria Macapagal Arroyo <subj> Congress in the Philippines <obj> Appeal <triplet> Scandal-plagued President Gloria Macapagal Arroyo <subj> the country’s constant political instability <obj> Make Public Statement,Scandal-plagued President Gloria Macapagal Arroyo on Monday urged Congress in the Philippines to change the constitution to shift to a parliamentary form of government to ease the country’s constant political instability.
36,"Israeli Prime Minister Ariel Sharon wants Germany to pay more compensation to the families of 11 Israeli athletes killed at the 1972 Munich Olympic Games, a statement from his office said Tuesday.",<triplet> Israeli Prime Minister Ariel Sharon <subj> Germany <obj> Appeal <triplet> Germany <subj> the families of 11 Israeli athletes <obj> Provide Aid <triplet> a statement from his office <subj> Israeli Prime Minister Ariel Sharon <obj> Make Public Statement <triplet> a statement from his office <subj> Germany <obj> Make Public Statement <triplet> Germany <subj> Germany <obj> Make Public Statement <triplet> a statement from his office <subj> the families of 11 Israeli athletes <obj> Make Public Statement,6,False,"Israeli Prime Minister Ariel Sharon wants Germany to pay more compensa_x0002_tion to the families of 11 Israeli athletes killed at the 1972 Munich Olympic Games, a statement from his office said Tuesday.",<triplet> Israeli Prime Minister Ariel Sharon <subj> Germany <obj> Appeal <triplet> Germany <subj> the families of 11 Israeli athletes <obj> Provide Aid <triplet> a statement from his office <subj> Israeli Prime Minister Ariel Sharon <obj> Make Public Statement <triplet> a statement from his office <subj> Germany <obj> Make Public Statement <triplet> Germany <subj> Germany <obj> Make Public Statement <triplet> a statement from his office <subj> the families of 11 Israeli athletes <obj> Make Public Statement,"Israeli Prime Minister Ariel Sharon wants Germany to pay more compensation to the families of 11 Israeli athletes killed at the 1972 Munich Olympic Games, a statement from his office said Tuesday."
37,Dozens of journalists at Sudan’s most respected daily newspaper appealed to the Sudanese government on Wednesday to let them resume publishing and compensate them for lost wages,<triplet> Dozens of journalists at Sudan’s most respected daily newspaper <subj> the Sudanese government <obj> Appeal,1,False,Dozens of journalists at Sudan’s most respected daily newspaper appealed to the Sudanese government on Wednesday to let them resume publishing and compensate them for lost wages,<triplet> Dozens of journalists at Sudan’s most respected daily newspaper <subj> the Sudanese government <obj> Appeal,Dozens of journalists at Sudan’s most respected daily newspaper appealed to the Sudanese government on Wednesday to let them resume publishing and compensate them for lost wages
38,"Human Rights Watch also called on Yemen, Algeria andMalaysia to immediately lift bans on newspapers closed in recent days for printing the caricatures.","<triplet> Human Rights Watch <subj> Yemen, <obj> Appeal <triplet> Human Rights Watch <subj> Algeria <obj> Appeal <triplet> Human Rights Watch <subj> andMalaysia <obj> Appeal <triplet> Yemen, <subj> newspapers closed in recent days <obj> Coerce <triplet> Algeria <subj> newspapers closed in recent days <obj> Coerce <triplet> andMalaysia <subj> newspapers closed in recent days <obj> Coerce",6,False,"Human Rights Watch also called on Yemen, Algeria andMalaysia to im_x0002_mediately lift bans on newspapers closed in recent days for printing the caricatures.","<triplet> Human Rights Watch <subj> Yemen, <obj> Appeal <triplet> Human Rights Watch <subj> Algeria <obj> Appeal <triplet> Human Rights Watch <subj> andMalaysia <obj> Appeal <triplet> Yemen, <subj> newspapers closed in recent days <obj> Coerce <triplet> Algeria <subj> newspapers closed in recent days <obj> Coerce <triplet> andMalaysia <subj> newspapers closed in recent days <obj> Coerce","Human Rights Watch also called on Yemen, Algeria andMalaysia to immediately lift bans on newspapers closed in recent days for printing the caricatures."
39,"Islamic fundamentalist leaders appealed to their Muslim followers for an end to anti-government agitation, authorities said Monday",<triplet> Islamic fundamentalist leaders <subj> their Muslim followers <obj> Appeal <triplet> their Muslim followers <subj> anti-government agitation <obj> Engage In Diplomatic Cooperation <triplet> authorities <subj> Islamic fundamentalist leaders <obj> Make Public Statement <triplet> authorities <subj> their Muslim followers <obj> Make Public Statement <triplet> authorities <subj> anti-government agitation <obj> Make Public Statement,5,False,"Islamic fundamentalist leaders appealed to their Muslim followers for an end to anti-government agitation, authorities said Monday",<triplet> Islamic fundamentalist leaders <subj> their Muslim followers <obj> Appeal <triplet> their Muslim followers <subj> anti-government agitation <obj> Engage In Diplomatic Cooperation <triplet> authorities <subj> Islamic fundamentalist leaders <obj> Make Public Statement <triplet> authorities <subj> their Muslim followers <obj> Make Public Statement <triplet> authorities <subj> anti-government agitation <obj> Make Public Statement,"Islamic fundamentalist leaders appealed to their Muslim followers for an end to anti-government agitation, authorities said Monday"
40,The United States called on Israel to move forward with its “courageous and historic” disengagement plan as fast as possible.,<triplet> The United States <subj> Israel <obj> Appeal,1,False,The United States called on Israel to move forward with its “courageous and historic” disengagement plan as fast as possible.,<triplet> The United States <subj> Israel <obj> Appeal,The United States called on Israel to move forward with its “courageous and historic” disengagement plan as fast as possible.
